Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
60;0;1,87;-125,45;0,2921;-9,9455;-0,2612;0,0481;-0,0032;0,0089;58,18;1489,72;-0,01
60;20;1,87;-125,13;0,2777;-9,9838;-0,166;0,0461;-0,0032;0,0061;58,13;1547,85;-0,05
60;40;1,87;-125,38;0,2705;-10,0126;-0,2204;0,0444;-0,0005;0,0109;58,13;1605,98;0,01
60;60;1,86;-125,36;0,2658;-9,9838;-0,1932;0,0468;-0,0012;0,0061;58,14;1664,12;0,01
60;80;1,86;-125,63;0,261;-9,9407;-0,2231;0,0477;0,0004;0,0125;58,14;1722,26;0,0
60;100;1,86;-126,01;0,2753;-10,0365;-0,2938;0,0468;-0,0013;0,0087;58,16;1780,42;0,01
60;120;1,87;-125,48;0,3424;-9,8881;-0,1632;0,045;-0,0032;0,0096;58,14;1838,56;-0,02
60;140;1,88;-125,36;0,3232;-10,0006;-0,2122;0,048;-0,0001;0,0057;58,13;1896,69;-0,01
60;160;1,89;-125,39;0,2634;-10,0078;-0,2204;0,0458;0,0043;0,0065;58,11;1954,8;-0,03
60;180;1,88;-124,6;0,2969;-9,9934;-0,1333;0,048;0,0004;0,0095;58,12;2012,92;0,01
60;200;1,9;-124,92;0,2682;-9,9766;-0,2231;0,0458;-0,002;0,0068;58,1;2071,02;-0,01
60;220;1,9;-124,64;0,3184;-9,9766;-0,2095;0,0466;-0,002;0,0087;58,11;2129,13;0,0
60;240;1,91;-123,85;0,3424;-9,9407;-0,1796;0,047;0,0003;0,0095;58,1;2187,23;-0,01
60;260;1,92;-124,52;0,2346;-9,9359;-0,2557;0,0449;-0,0021;0,0064;58,08;2245,32;-0,02
60;280;1,91;-124,5;0,2298;-9,9958;-0,2258;0,045;0,0019;0,0076;58,09;2303,41;0,01
60;300;1,91;-124,73;0,2777;-9,9599;-0,1714;0,0433;0,0012;0,0091;58,09;2361,49;-0,0
60;320;1,9;-124,75;0,1987;-9,9096;-0,2231;0,044;0,002;0,0096;58,09;2419,58;0,0
60;340;1,91;-124,76;0,3041;-10,0006;-0,2775;0,0481;0,0024;0,0077;58,1;2477,68;0,01
60;360;1,91;-124,96;0,237;-9,9647;-0,1823;0,0432;-0,0012;0,0084;58,08;2535,76;-0,02
60;380;1,91;-125,64;0,2586;-9,924;-0,1986;0,047;0,0;0,0099;58,09;2593,85;0,01
60;400;1,89;-126,11;0,2179;-9,9479;-0,2476;0,0441;0,0011;0,0083;58,1;2651,96;0,01
60;420;1,89;-125,81;0,2107;-9,9264;-0,136;0,0484;-0,0005;0,0087;58,1;2710,06;-0,0
60;440;1,87;-125,28;0,2442;-9,9144;-0,1442;0,0412;0,0004;0,0088;58,12;2768,18;0,02
60;460;1,87;-125,46;0,2777;-9,9383;-0,2449;0,0458;-0,0032;0,0081;58,14;2826,31;0,02
60;480;1,87;-125,36;0,2562;-9,9742;-0,1768;0,0476;-0,0025;0,0092;58,13;2884,44;-0,01
60;500;1,86;-125,71;0,2418;-9,9647;-0,2204;0,0473;0,0009;0,0092;58,14;2942,58;0,01
60;520;1,86;-125,81;0,3065;-9,979;-0,2122;0,0484;-0,0009;0,0091;58,15;3000,73;0,01
60;540;1,87;-125,82;0,2969;-9,9862;-0,2421;0,0421;0,0008;0,0107;58,13;3058,86;-0,02
60;560;1,88;-126,29;0,2466;-9,979;-0,2612;0,0458;0,0007;0,0093;58,12;3116,98;-0,01
60;580;1,89;-126,07;0,2873;-9,979;-0,2394;0,0472;0,0031;0,0103;58,11;3175,1;-0,0
60;600;1,89;-125,55;0,2514;-9,9982;-0,1442;0,0456;-0,0015;0,0116;58,11;3233,2;-0,01
60;620;1,87;-125,89;0,2203;-9,9934;-0,1823;0,0448;-0,0004;0,006;58,12;3291,32;0,01
60;640;1,84;-124,98;0,2203;-9,9359;-0,0952;0,0469;-0,0031;0,0077;58,14;3349,47;0,02
