Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;31,89;-16,07;-10260;-18776;9872;14774;-1318;282;33,27;1253,99;-0,78
60;33,67;-14,63;-6648;-19520;10132;16029;-1403;86;27,45;1281,44;-5,82
60;34,77;-12,78;2324;-20284;8180;16997;541;-196;26,2;1307,63;-1,25
60;35,79;-8,77;-1136;-19684;6984;17564;-5314;-148;23,64;1356,31;-1,39
60;36,05;-9,02;4160;-20416;5316;18048;1886;-594;23,62;1379,92;-0,02
60;36,94;-6,38;-8064;-19012;5796;18128;-2830;-463;23,51;1403,44;-0,11
60;37,7;-9,12;5940;-18564;5256;17869;-2494;-520;22,81;1426,24;-0,7
60;38,14;-10,68;4740;-17264;5272;17451;-2383;-657;22,55;1448,79;-0,26
60;37,39;-11,28;3476;-16612;5028;16840;-2777;-656;22,08;1493,44;-0,5
60;37,37;-11,31;4120;-16036;4428;16025;-2122;-737;22,35;1515,79;0,27
60;37,63;-10,43;5028;-15864;3784;15126;-348;-842;22,3;1538,09;-0,04
60;37,59;-11,53;2868;-14440;4224;14013;-188;-974;22,4;1560,49;0,09
60;37,95;-7,93;-7480;-13160;6412;12897;-3117;-669;22,76;1583,25;0,36
60;37,71;-6,65;-1212;-12988;5012;11692;-278;-481;22,51;1605,76;-0,25
60;37,45;-7,39;4720;-11072;3052;10161;-434;-601;22,24;1650,26;-0,01
60;37,21;-6,9;-264;-11544;5700;8666;-203;-455;22,59;1672,85;0,35
60;36,94;-6,39;-804;-9400;4572;7165;-1273;-216;22,9;1695,75;0,31
60;36,53;-6,37;4300;-10448;3664;5545;732;-150;23,36;1719,11;0,46
60;35,62;-3,0;-1792;-9692;4212;4021;311;19;24,03;1766,86;0,31
60;35,0;-0,9;-936;-8828;4216;2309;-1375;191;24,66;1791,51;0,63
60;34,28;-0,63;3496;-9208;4180;554;804;250;25,42;1816,93;0,76
60;33,29;1,02;116;-8648;4176;-1154;1416;329;26,07;1843,0;0,65
60;31,83;1,95;-220;-9208;3940;-2824;634;522;27,83;1897,89;0,77
60;30,61;2,4;0;-9300;4524;-4568;26;631;28,97;1926,86;1,14
60;29,31;2,37;532;-9492;4624;-6159;3;837;30,03;1956,89;1,06
60;27,83;2,26;2528;-10664;4468;-7692;1872;841;31,18;1988,07;1,15
60;26,83;4,98;-3636;-11568;6732;-8939;1431;868;33,29;2053,56;1,08
60;25,62;5,2;752;-12132;6636;-10042;3261;938;34,05;2087,6;0,76
60;24,44;5,36;-1724;-13744;7460;-10699;3796;958;34,92;2122,52;0,87
60;23,64;8,67;-8084;-15448;9032;-11150;3019;972;35,68;2158,2;0,76
60;23,59;10,29;1904;-12712;11200;-11306;1385;1086;36,87;2231,3;0,65
60;23,84;10,47;-12552;-15356;11560;-11009;-683;686;36,59;2267,89;-0,28
60;23,67;11,21;3020;-14836;12444;-10457;1042;727;36,36;2304,25;-0,24
60;23,97;9,24;11864;-16496;12676;-9488;4268;576;36,09;2340,34;-0,27
60;24,2;9,32;7500;-14292;13788;-8829;-998;777;35,69;2376,03;-0,39
60;25,64;7,58;10652;-14552;13824;-7724;-1933;684;35,04;2446,23;-0,12
60;26,29;7,32;11172;-14236;13860;-6525;-692;-188;34,3;2480,53;-0,74
60;27,06;5,34;10508;-14284;14456;-5383;-566;-231;33,43;2513,96;-0,87
60;27,51;4,54;4464;-15028;12452;-4313;-3385;-303;32,63;2546,59;-0,8
60;27,79;4,62;868;-14420;11124;-3178;-2614;-376;32,25;2578,85;-0,38
60;28,92;6,03;-7012;-13704;12596;-2227;-2334;-595;31,58;2642,25;-0,24
60;29,64;6,02;-4608;-14156;13484;-1272;1631;-788;30,79;2673,04;-0,79
60;29,98;6,66;4112;-15560;9344;-533;1729;-885;30,09;2703,13;-0,7
60;30,65;6,07;5804;-12704;10776;-137;-3246;-553;29,74;2732,88;-0,35
60;31,6;7,05;-9248;-14684;8728;449;-1077;-625;28,88;2761,75;-0,87
60;32,25;6,34;8564;-13068;9976;732;-1869;-378;28,14;2818,29;-0,26
60;32,43;6,91;-6920;-14596;7892;929;794;-640;27,72;2846,01;-0,42
60;32,52;6,45;2692;-13432;7852;932;-3582;-139;27,54;2873,55;-0,18
60;32,64;3,96;5304;-14092;7332;889;1423;-301;27,46;2901,01;-0,08
60;32,97;3,66;-1404;-14084;6744;680;1754;-114;26,86;2954,91;-0,19
60;33,08;3,51;-4344;-14020;6540;464;1065;-53;26,85;2981,75;-0,01
60;32,63;4,36;-3004;-13944;6088;84;543;65;27,21;3008,96;0,36
60;32,03;6,05;-576;-13676;5528;-414;250;174;27,67;3036,64;0,46
60;31,51;7,45;-2712;-14036;4836;-847;1364;256;28,21;3092,79;0,27
60;31,1;7,16;-1996;-13900;5176;-1379;2167;526;28,6;3121,38;0,39
60;30,47;8,76;-3220;-14220;5552;-1886;2511;615;29,24;3150,62;0,65
60;29,88;11,14;-3616;-14488;5316;-2388;2354;525;29,76;3180,38;0,51
60;29,35;11,39;-2780;-13812;5472;-2829;1170;685;30,46;3240,93;0,37
60;28,68;11,41;-884;-14192;5440;-3234;831;757;30,99;3271,92;0,53
60;28,18;12,92;-1616;-14880;6660;-3432;2111;626;31,5;3303,42;0,51
60;27,87;13,07;-4776;-14804;6948;-3529;1910;380;31,83;3335,25;0,33
60;27,49;13,79;-4968;-14812;7412;-3556;30;520;32,55;3399,98;0,38
60;27,28;12,55;2440;-14256;8184;-3471;-1682;508;32,68;3432,66;0,13
60;27,17;11,07;3344;-15228;7976;-3216;2405;100;32,7;3465,35;0,01
60;27,15;11,65;-3612;-14716;8924;-2864;-1565;86;32,77;3498,12;0,08
60;27,67;10,01;9204;-14048;10196;-2512;455;-277;32,73;3563,59;0,0
60;28,06;10,84;-10340;-15200;9420;-1912;-391;-413;32,26;3595,85;-0,48
60;28,47;8,97;7224;-14836;9280;-1472;2571;-474;31,72;3627,57;-0,54
60;28,82;10,63;-11216;-15192;9040;-920;-1263;-701;31,52;3659,09;-0,2
60;29,92;8,87;9156;-14612;9380;-431;2629;-855;30,39;3720,35;-0,49
60;30,31;8,08;-2800;-14932;8816;28;-1972;-674;29,74;3750,09;-0,64
60;30,42;6,95;3996;-15264;7876;409;1914;-744;29,62;3779,71;-0,12
60;30,76;7,73;-8924;-15228;8456;755;-839;-628;29,56;3809,27;-0,07
60;31,23;7,34;8904;-14144;8468;908;-671;-658;29,03;3867,39;-0,06
60;31,37;7,97;-5956;-15332;6940;1184;1871;-632;28,68;3896,06;-0,35
60;31,39;7,13;640;-14208;7172;1219;-3297;-320;28,59;3924,66;-0,09
60;31,82;5,25;9516;-13924;7840;1234;-1102;-472;28,58;3953,23;-0,02
60;31,87;3,78;-816;-14920;6268;1295;1953;-397;27,92;4009,47;-0,4
60;32,11;3,7;-5400;-14676;6648;1275;-26;-436;27,9;4037,37;-0,02
60;32,01;3,77;-1388;-14044;6980;1046;-895;-126;27,95;4065,32;0,05
60;31,87;4,17;-568;-13988;6796;864;-912;-63;28,09;4093,41;0,14
60;31,43;4,58;1816;-13968;6860;575;-1405;141;28,47;4150,2;0,14
60;31,27;4,41;4768;-13996;5956;252;-1288;260;28,68;4178,89;0,22
60;30,99;3,15;3228;-14052;6100;-66;-1023;387;28,91;4207,79;0,22
60;31,0;1,13;4788;-13788;6572;-268;-1198;404;29,0;4236,79;0,09
60;30,65;0,66;3296;-13756;6296;-574;-742;679;29,27;4295,16;0,16
60;30,4;0,6;3336;-13996;6616;-863;-37;704;29,53;4324,69;0,26
60;30,11;0,7;3184;-14292;6500;-1090;30;701;29,77;4354,46;0,24
60;29,76;-0,36;2768;-14240;5784;-1331;925;735;30,03;4384,48;0,26
60;29,49;-1,16;-1724;-14600;6136;-1481;1701;567;30,36;4445,07;0,14
60;29,24;-1,16;-2020;-14924;6104;-1583;487;647;30,58;4475,64;0,22
