Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
60;0;1,81;-128,28;0,2801;-9,9192;-0,2966;0,043;0,002;0,0105;58,21;1604,18;0,02
60;20;1,83;-127,23;0,2825;-9,9623;-0,2775;0,0442;0,0008;0,0105;58,19;1662,37;-0,02
60;40;1,81;-126,76;0,2394;-9,9335;-0,2041;0,0458;0,0024;0,0108;58,19;1720,56;-0,0
60;60;1,82;-127,33;0,2179;-9,9671;-0,351;0,0452;-0,0007;0,01;58,2;1778,76;0,01
60;80;1,83;-127,43;0,237;-9,9814;-0,1959;0,0457;0,0007;0,0069;58,17;1836,93;-0,03
60;100;1,8;-126,33;0,2274;-9,9264;-0,1632;0,0456;0,0016;0,0069;58,19;1895,11;0,02
60;120;1,81;-126,1;0,2562;-9,9359;-0,2857;0,0432;0,0011;0,0099;58,2;1953,32;0,02
60;140;1,81;-126,07;0,2801;-9,9647;-0,1768;0,0438;0,0007;0,0119;58,19;2011,51;-0,01
60;160;1,78;-126,04;0,2107;-9,9934;-0,1796;0,0448;0,0021;0,0108;58,2;2069,71;0,01
60;180;1,78;-125,6;0,2705;-9,979;-0,2748;0,0441;-0,0001;0,0095;58,23;2127,94;0,03
60;200;1,78;-124,9;0,2466;-10,0054;-0,1551;0,0456;0,0004;0,012;58,21;2186,15;-0,02
60;220;1,76;-125,51;0,2011;-9,9958;-0,1687;0,0446;0,002;0,0121;58,22;2244,37;0,01
60;240;1,76;-125,04;0,237;-10,003;-0,1197;0,047;-0,0005;0,0105;58,23;2302,6;0,01
60;260;1,77;-125,6;0,2298;-10,0006;-0,2177;0,047;0,0011;0,0107;58,23;2360,83;0,0
60;280;1,78;-125,68;0,2394;-10,0102;-0,2204;0,046;0,0028;0,0096;58,22;2419,05;-0,01
60;300;1,78;-126,27;0,2322;-9,9671;-0,3102;0,0456;-0,0012;0,0109;58,23;2477,28;0,01
60;320;1,78;-126,55;0,2179;-9,9575;-0,2639;0,0458;0,0041;0,0088;58,22;2535,49;-0,01
60;340;1,79;-127,45;0,249;-9,9814;-0,2666;0,0454;0,0052;0,0087;58,21;2593,71;-0,0
60;360;1,79;-127,89;0,1987;-9,9862;-0,2748;0,0457;-0,0008;0,0069;58,21;2651,92;-0,0
60;380;1,8;-128,44;0,2562;-10,0054;-0,3374;0,0432;0,0025;0,0123;58,22;2710,14;0,0
60;400;1,81;-128,54;0,2658;-9,9503;-0,2421;0,047;-0,0017;0,0113;58,19;2768,33;-0,02
60;420;1,81;-128,18;0,2873;-9,9599;-0,2177;0,0474;0,0041;0,0083;58,2;2826,53;0,01
60;440;1,8;-129,13;0,2227;-9,9503;-0,2884;0,0452;0,0032;0,0092;58,21;2884,74;0,01
60;460;1,79;-128,93;0,2179;-9,979;-0,1986;0,0457;-0,0008;0,0121;58,2;2942,94;-0,01
60;480;1,78;-128,74;0,2011;-9,9838;-0,2149;0,0456;-0,0003;0,0103;58,21;3001,15;0,01
60;500;1,81;-128,73;0,2897;-9,979;-0,2449;0,0446;-0,0011;0,0081;58,2;3059,35;-0,01
60;520;1,81;-128,94;0,2442;-9,9862;-0,2258;0,0446;-0,0013;0,012;58,19;3117,54;-0,01
60;540;1,81;-128,95;0,2825;-9,9862;-0,1932;0,0446;0,0036;0,0095;58,19;3175,72;-0,0
60;560;1,83;-129,7;0,249;-10,0102;-0,321;0,0464;0,0047;0,0099;58,18;3233,9;-0,01
60;580;1,84;-129,41;0,2801;-9,9814;-0,1904;0,0426;0,0011;0,0112;58,16;3292,06;-0,02
60;600;1,85;-129,49;0,2753;-10,0293;-0,2449;0,0445;0,0025;0,012;58,16;3350,22;-0,01
60;620;1,85;-129,13;0,2849;-9,9862;-0,2095;0,0448;0,002;0,0107;58,15;3408,37;-0,0
60;640;1,87;-129,23;0,2753;-9,9575;-0,2421;0,0446;0,0009;0,0139;58,14;3466,51;-0,01
60;660;1,86;-129,18;0,2514;-9,9862;-0,2313;0,0444;0,0012;0,0101;58,14;3524,66;0,0
60;680;1,86;-128,92;0,2466;-10,0102;-0,1578;0,049;-0,0011;0,0121;58,14;3582,79;-0,0
60;700;1,85;-129,19;0,2251;-10,1011;-0,2367;0,0434;-0,0051;0,0113;58,14;3640,94;0,0
60;720;1,87;-129,44;0,2753;-10,0317;-0,2639;0,0449;0,0004;0,0093;58,14;3699,08;-0,0
60;740;1,87;-129,69;0,2418;-10,0437;-0,2639;0,0473;0,0005;0,0089;58,13;3757,21;-0,01
60;760;1,89;-129,99;0,2753;-9,9718;-0,2721;0,044;-0,0016;0,0097;58,12;3815,33;-0,01
60;780;1,89;-129,3;0,2873;-9,9718;-0,166;0,0438;0,0032;0,0079;58,11;3873,44;-0,01
60;800;1,88;-129,04;0,2562;-9,9599;-0,234;0,042;-0,0037;0,0116;58,12;3931,56;0,02
60;820;1,87;-128,7;0,2682;-10,0341;-0,2966;0,044;0,0012;0,01;58,14;3989,7;0,01
60;840;1,86;-127,96;0,2179;-9,9695;-0,2013;0,0448;0,0013;0,0084;58,13;4047,83;-0,01
60;860;1,87;-128,15;0,2394;-10,0197;-0,2285;0,0433;0,0033;0,01;58,13;4105,96;0,0
60;880;1,85;-128,5;0,2442;-9,9671;-0,2585;0,044;0,0057;0,0105;58,15;4164,11;0,02
60;900;1,84;-128,55;0,1963;-9,9886;-0,2068;0,0469;0,0047;0,0091;58,15;4222,26;0,0
60;920;1,84;-128,63;0,1939;-10,0197;-0,1904;0,045;0,0007;0,01;58,15;4280,41;-0,0
60;940;1,83;-128,41;0,2322;-10,0221;-0,2367;0,0489;-0,0013;0,0107;58,17;4338,59;0,02
60;960;1,83;-127,96;0,2586;-9,979;-0,2041;0,0434;0,0049;0,0116;58,17;4396,76;-0,0
60;980;1,82;-127,33;0,2442;-9,9766;-0,185;0,0428;0,0031;0,0133;58,18;4454,93;0,01
60;1000;1,82;-127,22;0,2705;-9,9766;-0,2421;0,0456;0,0012;0,0088;58,18;4513,12;0,01
60;1020;1,83;-127,09;0,2849;-9,9934;-0,2449;0,0434;0,0013;0,0108;58,17;4571,29;-0,01
60;1040;1,83;-127,12;0,2514;-9,9718;-0,2775;0,0449;-0,0001;0,0071;58,17;4629,46;-0,0
60;1060;1,83;-127,47;0,2107;-9,9838;-0,2095;0,045;0,0004;0,0101;58,16;4687,62;-0,01
60;1080;1,82;-127,55;0,2298;-10,0126;-0,2258;0,0442;0,0028;0,0084;58,17;4745,79;0,01
60;1100;1,85;-127,75;0,3256;-10,0126;-0,3074;0,0437;-0,0019;0,0112;58,16;4803,95;-0,01
60;1120;1,85;-127,34;0,2538;-10,0197;-0,2585;0,0436;0,0015;0,01;58,15;4862,1;-0,01
60;1140;1,86;-127,38;0,2801;-10,0197;-0,2258;0,0458;0,0009;0,0085;58,14;4920,25;-0,01
60;1160;1,85;-126,57;0,2251;-9,9311;-0,1279;0,0453;0,0011;0,0108;58,14;4978,39;-0,0
60;1180;1,83;-126,76;0,2442;-10,0149;-0,185;0,045;0,0009;0,0091;58,16;5036,55;0,02
60;1200;1,84;-126,9;0,2346;-9,979;-0,2557;0,0449;0,0012;0,0121;58,16;5094,71;-0,0
60;1220;1,83;-126,82;0,2203;-9,9695;-0,2285;0,0468;0,0019;0,0115;58,17;5152,88;0,01
60;1240;1,84;-126,86;0,2993;-9,924;-0,2585;0,0465;0,0049;0,0103;58,17;5211,05;-0,0
60;1260;1,85;-127,09;0,2466;-9,9647;-0,2421;0,0425;0,0005;0,0116;58,15;5269,2;-0,01
60;1280;1,84;-127,14;0,2873;-9,9695;-0,2013;0,0449;0,0029;0,0111;58,16;5327,36;0,01
60;1300;1,85;-127,35;0,2538;-9,9718;-0,2775;0,0434;0,0023;0,0092;58,15;5385,51;-0,01
60;1320;1,85;-127,66;0,2466;-10,0365;-0,321;0,042;0,0013;0,0117;58,16;5443,67;0,01
60;1340;1,84;-127,65;0,2418;-10,003;-0,2068;0,0448;0,002;0,0115;58,16;5501,83;-0,0
60;1360;1,84;-127,84;0,2059;-9,9766;-0,2394;0,0437;0,0021;0,0123;58,16;5559,99;0,0
60;1380;1,84;-127,72;0,2921;-10,0006;-0,2122;0,046;0,0016;0,0107;58,17;5618,15;0,01
60;1400;1,83;-127,72;0,2298;-10,0149;-0,2258;0,0458;0,0012;0,0099;58,17;5676,33;0,0
60;1420;1,82;-127,93;0,2251;-9,9838;-0,2693;0,0441;-0,0003;0,008;58,18;5734,51;0,01
60;1440;1,82;-127,96;0,2298;-10,0269;-0,1578;0,0462;0,0043;0,0108;58,17;5792,68;-0,01
60;1460;1,81;-128,2;0,2442;-10,0461;-0,2557;0,0461;0,0007;0,0087;58,19;5850,87;0,01
60;1480;1,81;-128,6;0,2514;-9,9479;-0,2394;0,047;0,0001;0,0107;58,19;5909,06;0,0
60;1500;1,81;-128,12;0,2729;-9,9311;-0,185;0,0454;-0,0028;0,0115;58,2;5967,26;0,0
60;1520;1,81;-127,79;0,2705;-9,9359;-0,1551;0,0474;0,0047;0,0096;58,19;6025,44;-0,01
60;1540;1,81;-127,78;0,2394;-9,9958;-0,1904;0,0458;0,0037;0,0093;58,19;6083,63;0,0
60;1560;1,81;-127,52;0,2777;-9,9288;-0,2204;0,046;0,0021;0,0079;58,19;6141,83;0,0
60;1580;1,82;-127,37;0,2658;-9,991;-0,1687;0,0452;0,0023;0,0083;58,18;6200,0;-0,02
60;1600;1,8;-127,1;0,2155;-9,9431;-0,1496;0,0428;0,0027;0,0125;58,19;6258,19;0,01
60;1620;1,8;-127,12;0,2274;-10,0006;-0,2394;0,0458;-0,0004;0,0095;58,2;6316,39;0,02
60;1640;1,79;-127,32;0,2155;-9,9814;-0,2068;0,0453;0,0031;0,0104;58,2;6374,59;-0,0
60;1660;1,81;-127,41;0,2705;-9,9766;-0,2911;0,0472;0,0041;0,0095;58,2;6432,79;0,0
60;1680;1,8;-127,86;0,1772;-9,9359;-0,2503;0,0468;0,0028;0,0108;58,19;6490,99;-0,01
60;1700;1,82;-128,29;0,2418;-9,9718;-0,2938;0,044;0,0027;0,0128;58,19;6549,17;-0,01
60;1720;1,81;-128,31;0,237;-10,0102;-0,1578;0,0458;0,0009;0,0123;58,18;6607,35;-0,01
60;1740;1,82;-127,96;0,2658;-9,9335;-0,1796;0,0416;0,0015;0,0127;58,18;6665,53;0,0
60;1760;1,81;-127,82;0,2801;-9,9958;-0,1551;0,044;0,0;0,0079;58,19;6723,72;0,0
60;1780;1,84;-128,16;0,2562;-9,9718;-0,3265;0,0478;-0,0005;0,0139;58,17;6781,89;-0,01
60;1800;1,84;-127,86;0,2514;-9,9718;-0,1551;0,044;-0,0023;0,0129;58,16;6840,05;-0,02
60;1820;1,84;-128,09;0,2394;-10,0221;-0,2421;0,0418;0,0023;0,0089;58,16;6898,21;0,0
60;1840;1,84;-128,13;0,2729;-10,003;-0,2367;0,044;0,002;0,0132;58,16;6956,38;0,0
60;1860;1,85;-128,13;0,2658;-9,979;-0,2585;0,0446;0,0044;0,0128;58,15;7014,53;-0,01
60;1880;1,86;-128,18;0,2873;-9,9814;-0,3129;0,0446;-0,0005;0,0104;58,16;7072,68;0,0
60;1900;1,84;-128,5;0,1724;-9,9886;-0,1768;0,0476;0,0025;0,0112;58,15;7130,83;-0,01
60;1920;1,85;-128,37;0,3065;-10,0341;-0,234;0,0488;0,0032;0,0083;58,16;7188,99;0,02
60;1940;1,84;-128,4;0,2586;-10,0102;-0,2367;0,042;0,0024;0,0095;58,16;7247,15;-0,01
60;1960;1,84;-128,59;0,261;-10,0413;-0,2095;0,0433;0,0051;0,01;58,16;7305,31;0,0
60;1980;1,84;-128,3;0,2179;-9,9671;-0,1959;0,0469;0,0007;0,01;58,15;7363,46;-0,0
60;2000;1,84;-128,13;0,2825;-10,0126;-0,2177;0,0484;-0,0017;0,0113;58,17;7421,63;0,01
60;2020;1,83;-128,23;0,2322;-9,9359;-0,2313;0,046;-0,0008;0,0104;58,17;7479,79;-0,0
60;2040;1,84;-128,49;0,237;-10,0461;-0,3401;0,0437;0,0064;0,0124;58,17;7537,96;-0,0
