Gas;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
100;20,67;-5,53;2508;-17284;3576;3961;-547;346
100;16,38;-9,58;660;-17236;2144;4537;-1498;299
100;16,77;3,88;-3900;-17796;3900;5172;-1217;-15
100;16,56;-3,48;2408;-17876;3928;5924;-1398;-40
100;16,29;-1,45;-672;-17580;4020;6562;-684;156
100;15,99;-2,34;424;-18016;3668;7137;-401;-59
100;16,85;-9,44;4884;-17360;3428;7762;-400;60
100;18,02;-3,21;-5052;-17568;5088;8224;-972;-81
100;18,63;-6,58;3008;-17480;4904;8762;-1279;-100
100;18,95;-4,73;-1084;-17004;4720;9180;-399;97
100;19,32;-7,72;2724;-17812;4228;9567;-1045;-55
100;19,94;-6,63;-572;-17096;5612;9889;-232;270
100;20,43;-4,46;-1928;-18184;5264;10176;-1194;-38
100;21,19;-7,49;3892;-16892;5160;10447;-805;106
100;21,57;-6,9;-268;-17792;5268;10592;-1380;18
100;22,22;-7,36;1096;-16504;5904;10697;-246;35
100;23,14;-4,51;-3596;-16788;6548;10680;-827;-242
100;24,13;-7,68;5228;-16160;5960;10725;-475;59
100;24,76;-4,91;-3300;-16776;6072;10638;-1206;-90
100;26,01;-8,59;7100;-15836;6436;10582;-714;184
100;26,98;-5,22;-4808;-15652;6988;10406;-656;0
100;28,25;-9,22;7828;-15152;6060;10266;-424;136
100;29,11;-5,65;-5140;-15036;6872;9958;-938;-96
100;30,01;-8,32;5164;-14292;7040;9691;-819;175
100;30,89;-5,03;-4912;-14196;7580;9357;-300;41
100;32,18;-8,73;8156;-13476;7124;8976;-411;8
100;33,05;-5,22;-5516;-13476;7732;8543;-543;137
100;33,51;-7,36;3940;-12940;6932;8183;-1040;209
100;34,14;-4,87;-3456;-12460;8004;7651;-52;24
100;35,11;-8,05;6964;-12092;7516;7183;-490;48
100;35,77;-4,6;-5292;-11864;7628;6580;-40;-53
100;36,29;-6,56;4216;-11752;7996;6142;-865;35
100;36,91;-4,59;-2840;-11100;8932;5477;164;193
100;37,39;-6,87;4908;-11004;7744;4931;-584;90
100;38,07;-5,93;-804;-10016;9476;4306;264;69
100;38,45;-7,89;4712;-11156;8488;3745;-870;-32
100;39,06;-5,47;-3948;-10060;9316;3129;128;7
100;39,52;-8,01;6232;-10472;8220;2497;-440;-121
100;40,14;-6,65;-1660;-9108;9904;1872;455;-1
100;40,36;-8,48;4940;-10628;9012;1242;-819;-124
100;40,82;-6,3;-3468;-9072;9548;591;470;93
100;41,01;-8,96;6884;-10320;8148;-3;-548;50
100;41,28;-7,43;-1964;-8996;9760;-650;617;297
100;41,2;-9,18;5220;-10580;8900;-1201;158;59
100;41,43;-7,11;-2780;-8932;10000;-1835;2765;243
100;41,27;-9,38;6592;-10652;8172;-2379;940;164
100;41,25;-9,0;884;-9408;10196;-2956;1343;388
100;40,59;-9,56;2232;-11164;8884;-3492;-871;148
100;40,43;-8,55;-996;-9680;10176;-4061;274;263
100;39,57;-7,52;-1276;-11736;8820;-4536;-767;176
100;39,23;-6,85;-28;-10184;9824;-5032;1685;588
100;38,31;-7,0;1220;-11988;8840;-5517;-495;336
100;37,93;-6,15;-932;-10392;10096;-5947;361;331
100;36,94;-5,77;8;-12584;8992;-6352;-210;58
100;36,41;-5,14;-264;-11268;10152;-6725;1302;331
100;35,34;-5,74;1992;-13240;8368;-7098;-660;-46
100;34,48;-6,13;2124;-12196;8796;-7369;1060;51
100;33,37;-5,6;-384;-13440;8540;-7678;-149;-54
100;32,63;-5,25;352;-12340;9480;-7961;1065;-56
100;31,42;-5,79;1856;-14084;7864;-8218;-261;-343
100;30,53;-6,06;1780;-13012;8272;-8415;1201;54
100;29,3;-4,86;-1916;-14940;7712;-8591;-274;-438
100;28,55;-5,38;2436;-13756;8868;-8734;1072;-175
100;27,46;-5,47;956;-15320;7912;-8818;45;-282
100;26,43;-5,59;1396;-14120;7600;-8916;1534;-123
100;25,37;-4,3;-2104;-15512;7304;-8963;77;-286
