Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s)
0;0;2,78;-125,14;0,4094;-9,9814;-0,3238;0,0478;0,0016;0,0055
0;20;2,96;-131,41;0,3687;-9,9623;-0,4598;0,0484;0,0005;0,008
0;40;3,16;-130,59;0,486;-10,0102;-0,4462;0,0476;0,0011;0,0067
0;60;3,13;-130,6;0,4022;-9,9838;-0,3918;0,0452;-0,0003;0,0075
0;80;3,21;-130,77;0,4621;-9,979;-0,4625;0,0449;-0,0015;0,0049
0;100;3,22;-131,12;0,4238;-9,9671;-0,4462;0,0469;0,0024;0,006
0;120;3,2;-131,64;0,3855;-9,9958;-0,4299;0,0481;-0,0005;0,0028
0;140;3,12;-131,39;0,3496;-9,9575;-0,3292;0,0481;0,0007;0,0059
0;160;3,11;-132,13;0,3591;-10,0149;-0,4435;0,048;0,0025;0,0043
0;180;3,08;-131,63;0,3998;-9,9383;-0,3482;0,0464;0,0001;0,0049
0;200;3,07;-131,48;0,4094;-9,9886;-0,3918;0,0481;0,0021;0,006
0;220;3,08;-131,57;0,4142;-9,9766;-0,4271;0,048;-0,0021;0,0048
0;240;3,06;-131,85;0,3639;-9,9886;-0,4027;0,0485;0,0036;0,0053
0;260;3,07;-132,55;0,3591;-10,003;-0,468;0,0484;-0,0035;0,008
0;280;3,07;-132,14;0,4334;-9,9575;-0,3809;0,0452;0,002;0,006
0;300;3,1;-132,66;0,4046;-9,9958;-0,5006;0,0462;0,0028;0,0049
0;320;3,09;-132,54;0,4046;-10,003;-0,3972;0,0484;0,0016;0,0035
0;340;3,1;-132,39;0,431;-9,991;-0,419;0,0473;0,0004;0,0061
0;360;3,09;-132,11;0,4094;-9,9647;-0,3755;0,0468;-0,0027;0,0056
0;380;3,07;-132,17;0,3759;-10,0126;-0,3918;0,0473;0,0024;0,0035
0;400;3,05;-131,6;0,4118;-9,9814;-0,3374;0,0458;0,0019;0,0071
0;420;3,05;-132,5;0,3376;-10,003;-0,4816;0,0473;0,0016;0,0059
0;440;3,02;-132,67;0,3352;-9,9695;-0,3673;0,0466;0,0025;0,0031
0;460;3,02;-132,61;0,4118;-9,924;-0,4163;0,0444;0,0008;0,008
0;480;3,02;-133,2;0,3496;-10,0509;-0,4516;0,0454;0,0024;0,0067
0;500;3,01;-132,96;0,407;-9,9814;-0,3863;0,0468;-0,0033;0,0044
0;520;3,0;-132,5;0,4094;-9,9838;-0,3564;0,0462;0,0001;0,0065
0;540;3,04;-132,04;0,4788;-10,0149;-0,4108;0,0501;0,0007;0,0032
0;560;3,04;-132,32;0,3759;-9,9647;-0,4299;0,0494;0,0016;0,0056
0;580;3,02;-131,86;0,4046;-10,0102;-0,3455;0,0474;0,0004;0,0057
0;600;3,03;-131,73;0,419;-9,9503;-0,4054;0,0465;0,0024;0,0064
0;620;3,04;-131,96;0,395;-10,0149;-0,4407;0,0466;0,0003;0,0049
0;640;3,04;-131,8;0,407;-9,9862;-0,3891;0,0477;-0,002;0,0037
0;660;3,06;-131,84;0,4238;-9,9766;-0,438;0,0481;0,0;0,0061
0;680;3,05;-131,73;0,4022;-10,0149;-0,3918;0,0465;0,0012;0,0072
0;700;3,06;-131,53;0,4214;-9,9599;-0,3945;0,0497;0,0031;0,0092
0;720;3,06;-131,3;0,4118;-9,9862;-0,3782;0,0462;0,004;0,0044
0;740;3,05;-131,14;0,4046;-10,0221;-0,3809;0,0476;-0,0008;0,0055
