Angle (°);Time (ms);PositionX (°);PositionY (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;0;56,85;-164,76;3860;-9532;-14176;-501;20;103;3,16;-1361,76;-0,02
60;20;56,85;-164,78;3800;-9552;-14152;-495;9;85;3,16;-1358,6;-0,01
60;40;56,84;-164,78;3836;-9592;-13984;-501;3;67;3,15;-1352,31;0,01
60;60;56,84;-164,79;3808;-9612;-14128;-464;12;105;3,16;-1349,15;0,01
60;80;56,84;-164,8;3812;-9660;-14232;-490;-2;67;3,16;-1345,99;0,0
60;100;56,86;-164,81;3824;-9516;-14132;-472;12;104;3,15;-1339,69;-0,01
60;120;56,84;-164,78;3832;-9600;-13976;-460;-22;99;3,14;-1336,54;-0,0
60;140;56,83;-164,79;3816;-9616;-13968;-497;2;86;3,16;-1333,39;0,01
60;160;56,52;-160,33;3328;0;3328;18555;288;-7767;3,17;-1330,21;0,02
60;180;56,58;-160,69;3808;-9632;-14084;-463;26;79;3,43;-1323,32;-0,04
60;200;56,62;-160,89;3852;-9604;-14192;-493;8;76;3,4;-1319,92;-0,03
60;220;56,67;-161,09;3828;-9604;-14256;-455;-2;110;3,36;-1316,56;-0,04
60;240;56,32;-157,04;3328;0;3328;18555;288;-7767;3,33;-1313,23;-0,03
60;260;56,45;-157,63;3848;-9520;-14220;-477;16;96;3,59;-1305,99;-0,07
60;280;56,54;-157,95;3804;-9520;-14056;-501;8;108;3,5;-1302,49;-0,09
60;300;56,63;-158,25;3880;-9524;-13980;-507;32;80;3,41;-1299,08;-0,08
60;320;57,5;-157,56;18555;288;-7767;3880;-9524;21509;3,35;-1295,73;-0,06
60;340;57,54;-158,08;3944;-9600;-14148;-483;-4;111;2,45;-1290,76;-0,06
60;360;57,58;-158,35;3844;-9608;-14144;-486;8;67;2,43;-1288,34;-0,03
60;380;57,61;-158,62;3848;-9636;-13968;-471;-7;111;2,4;-1285,93;-0,02
60;400;57,91;-153,82;3848;-9636;21509;-1;-1;111;2,4;-1283,53;-0,0
60;420;57,92;-154,59;3836;-9544;-14260;-497;0;80;2,07;-1279,34;-0,04
60;440;57,93;-155,0;3852;-9560;-14072;-472;-18;116;2,06;-1277,27;-0,01
60;460;57,97;-155,4;3912;-9516;-14200;-467;-1;73;2,06;-1275,21;-0,01
60;480;57,51;-151,94;3328;0;3328;18555;288;-7767;2,05;-1273,17;-0,01
60;500;57,58;-152,85;3844;-9552;-14096;-484;5;105;2,42;-1268,25;-0,09
60;520;57,64;-153,36;3708;-9596;-14172;-485;-13;75;2,37;-1265,88;-0,05
60;540;57,71;-153,85;3884;-9608;-14192;-493;0;105;2,33;-1263,54;-0,04
60;560;58,49;-153,47;18555;288;-7767;3884;-9608;21509;2,28;-1261,26;-0,05
60;580;58,49;-154,28;3924;-9572;-14148;-480;13;102;1,48;-1258,24;-0,06
