Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
60;0;2,83;-128,53;0,3879;-10,0293;-0,351;0,0462;-0,0017;0,0103;57,17;57,17;57,17
60;20;2,79;-128,44;0,3735;-9,991;-0,351;0,0458;-0,0027;0,0077;57,21;171,57;0,03
60;40;2,77;-128,24;0,3855;-10,07;-0,3374;0,045;-0,0005;0,0077;57,23;228,8;0,02
60;60;2,79;-127,3;0,4214;-9,9766;-0,3183;0,0442;-0,0021;0,008;57,21;286,01;-0,02
60;80;2,82;-128,05;0,395;-10,0149;-0,3972;0,045;-0,0032;0,0068;57,18;343,2;-0,03
60;100;2,91;-128,87;0,4429;-9,9886;-0,4734;0,0462;0,0023;0,006;57,09;400,29;-0,09
60;120;2,87;-127,87;0,3974;-9,9527;-0,2775;0,0456;-0,0005;0,0093;57,13;457,42;0,04
60;140;2,84;-127,4;0,3879;-9,9671;-0,2993;0,0466;0,0032;0,0103;57,16;514,58;0,03
60;160;2,82;-127,77;0,3735;-10,0317;-0,3618;0,0429;-0,0007;0,0085;57,18;571,76;0,02
60;180;2,8;-127,24;0,3974;-9,9431;-0,2966;0,0458;-0,0017;0,0088;57,2;628,96;0,02
60;200;2,78;-127,6;0,3615;-9,9934;-0,351;0,0488;-0,0028;0,0119;57,22;686,18;0,02
60;220;2,79;-127,63;0,4046;-9,9766;-0,3564;0,0472;-0,0019;0,0109;57,21;743,39;-0,01
60;240;2,79;-127,48;0,4046;-9,9862;-0,3374;0,0454;0,0004;0,0093;57,21;800,6;0,0
60;260;2,77;-126,45;0,419;-9,9575;-0,2557;0,0441;-0,0025;0,0099;57,23;857,83;0,02
60;280;2,75;-126,33;0,3783;-9,9599;-0,3102;0,0478;-0,0057;0,0101;57,25;915,08;0,02
60;300;2,72;-126,44;0,3519;-9,9623;-0,3102;0,0441;-0,0036;0,0081;57,28;972,36;0,03
60;320;2,72;-127,04;0,3615;-10,0006;-0,3755;0,0444;0,0003;0,0087;57,28;1029,64;0,0
60;340;2,71;-127,22;0,3759;-9,9742;-0,3428;0,0477;-0,0019;0,0095;57,29;1086,92;0,0
