Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
55;0;2,56;-139,8;0,2873;-9,9551;-0,3863;0,0496;0,004;0,0036;52,44;52,44;52,44
55;20;2,89;-135,73;0,419;-10,0078;-0,4625;0,0498;0,0016;0,0064;52,11;156,86;-0,2
55;40;2,96;-136,16;0,3783;-9,9599;-0,468;0,049;0,0025;0,006;52,04;208,9;-0,07
55;60;3,04;-137,23;0,3735;-10,0293;-0,5305;0,0518;0,0013;0,0076;51,96;260,86;-0,08
55;80;2,96;-135,43;0,3735;-9,9982;-0,3183;0,0477;0,0045;0,0033;52,04;312,9;0,08
55;100;2,98;-134,13;0,4477;-9,9383;-0,3836;0,0508;0,0025;0,0087;52,02;364,92;-0,03
55;120;3,0;-134,36;0,3903;-10,0293;-0,4598;0,0496;0,0017;0,0075;52,0;416,92;-0,02
55;140;3,01;-134,95;0,3639;-10,0197;-0,4788;0,0514;0,0001;0,0064;51,99;468,91;-0,01
55;160;3,0;-135,44;0,3472;-10,0245;-0,4571;0,0476;0,0045;0,0072;52,0;520,92;0,01
55;180;2,99;-135,19;0,3879;-9,9862;-0,4135;0,0516;0,0037;0,0087;52,01;572,93;0,01
55;200;3,02;-135,44;0,4046;-9,9671;-0,5033;0,0505;0,0029;0,0093;51,98;624,91;-0,04
55;220;3,01;-136,02;0,328;-10,0245;-0,4571;0,0504;0,0023;0,0069;51,99;676,9;0,02
55;240;3,02;-136,18;0,3855;-10,0365;-0,4734;0,0486;0,0008;0,0104;51,98;728,88;-0,01
55;260;3,03;-135,76;0,4214;-9,9551;-0,4299;0,0509;0,0005;0,0077;51,97;780,85;-0,01
55;280;3,01;-134,7;0,4142;-9,9623;-0,3346;0,0489;0,0019;0,0101;51,99;832,84;0,02
55;300;3,03;-135,03;0,3831;-9,9718;-0,487;0,0478;0,0028;0,0064;51,97;884,82;-0,02
55;320;3,01;-134,61;0,3879;-10,0317;-0,3863;0,0509;0,0013;0,0077;51,99;936,81;0,02
55;340;3,0;-135,43;0,3184;-9,9671;-0,4788;0,05;0,0057;0,006;52,0;988,81;0,01
