Gas;Position
0;5,13
0;4,84
0;4,29
0;4,37
0;4,46
0;4,24
0;4,74
0;4,63
0;4,66
0;4,64
0;4,63
0;4,59
0;4,68
0;4,65
0;4,76
0;4,71
0;4,78
1;4,78
1;4,71
1;4,62
1;4,71
1;4,78
1;4,81
1;4,6
1;4,53
1;4,54
1;4,47
1;4,52
1;4,53
1;4,52
1;4,63
1;4,66
1;4,72
1;4,68
2;4,64
2;4,74
2;4,64
2;4,75
2;4,75
2;4,72
2;4,81
2;4,77
2;4,69
2;4,66
2;4,68
2;4,59
2;4,57
2;4,58
2;4,66
2;4,55
2;4,54
3;4,48
3;4,59
3;4,55
3;4,65
3;4,7
3;4,63
3;4,65
3;4,8
3;4,75
3;4,91
3;4,95
3;5,04
3;4,92
3;4,83
3;4,85
3;4,82
3;4,68
4;4,63
4;4,49
4;4,5
4;4,56
4;4,61
4;4,59
4;4,55
4;4,58
4;4,65
4;4,62
4;4,63
4;4,63
4;4,53
4;4,6
4;4,59
4;4,58
4;4,71
5;4,76
5;4,9
5;4,89
5;4,83
5;4,81
5;4,77
5;4,84
5;4,84
5;4,89
5;4,77
5;4,73
5;4,79
5;4,77
5;4,69
5;4,69
5;4,68
5;4,58
6;4,61
6;4,55
6;4,55
6;4,83
6;4,83
6;4,77
6;4,7
6;4,58
6;4,58
6;4,65
6;4,7
6;4,64
6;4,56
6;4,65
6;4,69
6;4,68
6;4,77
7;4,91
7;4,81
7;4,84
7;4,8
7;4,77
7;4,74
7;4,64
7;4,6
7;4,69
7;4,58
7;4,52
7;4,53
7;4,64
7;4,68
7;4,8
7;4,61
7;4,71
8;4,85
8;4,8
8;4,68
8;4,63
8;4,75
8;4,79
8;4,83
8;4,86
8;4,82
8;4,85
8;4,84
8;4,75
8;4,76
8;4,62
8;4,55
8;4,45
8;4,49
9;4,4
9;4,53
9;4,56
9;4,62
9;4,75
9;4,6
9;4,58
9;4,58
9;4,46
9;4,56
9;4,59
9;4,66
9;4,7
9;4,73
9;4,75
9;4,63
9;4,53
10;4,47
10;4,64
10;4,47
10;4,56
10;4,62
10;4,61
10;4,61
10;4,72
10;4,69
10;4,81
10;4,75
10;4,69
10;4,87
10;4,89
10;4,75
10;4,56
10;4,58
11;4,65
11;4,64
11;4,71
11;4,69
11;4,6
11;4,53
11;4,44
11;4,36
11;4,48
11;4,44
11;4,47
11;4,57
11;4,66
11;4,72
11;4,82
11;4,82
11;4,95
12;6,29
12;5,34
12;4,74
12;4,87
12;5,06
12;5,25
12;5,05
12;4,95
12;5,4
12;5,0
12;5,14
12;5,35
12;5,14
12;5,03
12;5,5
12;5,17
12;5,15
13;4,43
13;4,54
13;4,87
13;4,73
13;5,3
13;5,82
13;5,79
13;5,31
13;5,41
13;5,68
13;5,07
13;5,74
13;5,32
13;5,37
13;5,68
13;5,2
13;4,81
14;5,28
14;4,84
14;5,23
14;5,12
14;5,14
14;5,12
14;5,11
14;5,3
14;5,59
14;5,6
14;5,86
14;5,88
14;5,94
14;6,01
14;5,38
14;5,45
14;5,04
15;4,9
15;4,51
15;4,45
15;5,59
15;5,91
15;5,65
15;5,37
15;5,54
15;5,85
15;5,6
15;5,37
15;5,85
15;6,33
15;5,56
15;4,91
15;4,52
15;4,52
16;5,84
16;5,8
16;5,31
16;4,95
16;5,07
16;5,44
16;5,58
16;6,58
16;6,12
16;6,58
16;6,02
16;5,99
16;5,24
