Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
60;0;46,75;65,17;-0,6081;-3,6703;-11,1602;-0,0581;0,0028;0,0133;13,25;13,25;13,25
60;20;56,41;112,05;-0,6201;-3,7086;-11,1656;0,0561;0,0064;0,0155;3,59;23,98;-3,54
60;40;58,76;123,42;-0,6057;-3,6679;-11,1656;0,0632;0,0041;0,0137;1,24;25,22;-2,36
60;60;60,46;131,54;-0,577;-3,6703;-11,2146;0,0597;0,0032;0,0107;-0,46;24,76;-1,69
60;80;61,7;137,66;-0,5794;-3,6919;-11,1221;0,0592;0,0029;0,0107;-1,7;23,06;-1,24
60;100;62,7;142,5;-0,5411;-3,6607;-11,1275;0,0597;0,0064;0,0121;-2,7;20,35;-1,0
60;120;63,54;146,43;-0,5483;-3,6368;-11,1683;0,0589;0,0035;0,0111;-3,54;16,81;-0,84
60;140;64,25;149,7;-0,577;-3,6464;-11,1683;0,061;0,0032;0,0109;-4,25;12,56;-0,7
60;160;64,83;152,49;-0,5986;-3,6655;-11,1248;0,0596;0,0044;0,0104;-4,83;7,73;-0,59
60;180;65,33;154,95;-0,5435;-3,699;-11,1466;0,0564;0,002;0,0153;-5,33;2,4;-0,5
60;200;65,81;157,12;-0,5938;-3,6679;-11,2581;0,0616;0,008;0,0148;-5,81;-3,4;-0,48
60;220;66,22;159,05;-0,6153;-3,6727;-11,1629;0,0564;0,0008;0,0135;-6,22;-9,62;-0,41
60;240;66,59;160,82;-0,5962;-3,6823;-11,1683;0,0586;0,0053;0,0125;-6,59;-16,21;-0,37
60;260;66,93;162,45;-0,5938;-3,699;-11,1711;0,0609;0,0045;0,0092;-6,93;-23,14;-0,34
60;280;67,26;163,94;-0,6033;-3,6488;-11,152;0,0568;0,0033;0,0125;-7,26;-30,39;-0,33
60;300;67,55;165,32;-0,644;-3,6966;-11,1439;0,0658;0,0047;0,0132;-7,55;-37,94;-0,29
60;320;67,83;166,62;-0,6057;-3,6679;-11,1738;0,0554;0,0039;0,0143;-7,83;-45,77;-0,28
60;340;68,1;167,84;-0,6345;-3,6416;-11,1493;0,0606;0,0081;0,012;-8,1;-53,86;-0,27
60;360;68,33;169,0;-0,5794;-3,7158;-11,1683;0,0574;0,0007;0,0137;-8,33;-62,19;-0,23
60;380;68,57;170,1;-0,5483;-3,6224;-11,1167;0,0558;-0,0007;0,0145;-8,57;-70,75;-0,24
60;400;68,8;171,1;-0,6369;-3,6416;-11,2037;0,0598;0,0053;0,0096;-8,8;-79,55;-0,23
60;420;69,01;172,08;-0,5483;-3,6368;-11,1466;0,0605;0,0035;0,0145;-9,01;-88,56;-0,21
60;440;69,22;172,97;-0,6464;-3,6296;-11,2146;0,0618;0,0047;0,0139;-9,22;-97,78;-0,21
60;460;69,39;173,82;-0,5794;-3,6823;-11,152;0,0562;0,004;0,0116;-9,39;-107,17;-0,17
60;480;69,55;174,63;-0,5746;-3,6847;-11,201;0,0638;0,0011;0,0137;-9,55;-116,72;-0,17
60;500;69,71;175,38;-0,5842;-3,6679;-11,1493;0,0617;0,0089;0,0109;-9,71;-126,43;-0,15
60;520;69,85;176,06;-0,6416;-3,7086;-11,2608;0,0614;0,0029;0,0163;-9,85;-136,28;-0,14
60;540;69,99;176,7;-0,6369;-3,6536;-11,1819;0,0589;0,006;0,0113;-9,99;-146,27;-0,14
60;560;70,13;177,28;-0,6584;-3,6368;-11,2364;0,0588;0,0032;0,0127;-10,13;-156,4;-0,14
60;580;70,24;177,84;-0,6081;-3,6488;-11,1112;0,0596;0,0033;0,0121;-10,24;-166,65;-0,11
60;600;70,35;178,37;-0,5866;-3,6847;-11,2119;0,0612;0,0068;0,0112;-10,35;-176,99;-0,1
60;620;70,45;178,84;-0,6129;-3,6416;-11,2037;0,0601;0,0039;0,0139;-10,45;-187,45;-0,11
60;640;70,55;179,29;-0,5842;-3,6416;-11,1439;0,0593;0,0048;0,014;-10,55;-197,99;-0,09
60;660;70,64;179,71;-0,577;-3,644;-11,2309;0,062;0,0031;0,0115;-10,64;-208,63;-0,09
60;680;70,73;180,11;-0,5243;-3,6129;-11,133;0,0616;0,0027;0,0143;-10,73;-219,36;-0,09
60;700;70,8;180,47;-0,5626;-3,644;-11,2146;0,0601;0,0075;0,0121;-10,8;-230,16;-0,08
60;720;70,85;180,8;-0,5435;-3,6847;-11,1901;0,0605;0,0047;0,0149;-10,85;-241,02;-0,05
60;740;70,9;181,07;-0,6201;-3,6607;-11,1711;0,0574;0,0068;0,0139;-10,9;-251,92;-0,05
60;760;70,97;181,33;-0,6057;-3,644;-11,25;0,061;0,0052;0,0116;-10,97;-262,89;-0,06
60;780;71,04;181,56;-0,589;-3,5937;-11,2935;0,0589;0,0031;0,0139;-11,04;-273,93;-0,08
60;800;71,08;181,79;-0,5507;-3,644;-11,1928;0,0596;0,0073;0,0151;-11,08;-285,01;-0,04
60;820;71,12;181,98;-0,5866;-3,6416;-11,1629;0,0593;0,0059;0,0127;-11,12;-296,13;-0,03
60;840;71,15;182,14;-0,5818;-3,6488;-11,2228;0,0592;0,004;0,0115;-11,15;-307,28;-0,03
60;860;71,18;182,27;-0,644;-3,6583;-11,1901;0,0581;0,0059;0,0123;-11,18;-318,46;-0,02
60;880;71,17;182,39;-0,6249;-3,7182;-11,1711;0,0586;0,0059;0,0136;-11,17;-329,63;0,0
60;900;71,18;182,5;-0,5914;-3,6512;-11,0677;0,0598;0,0071;0,0135;-11,18;-340,81;-0,01
60;920;71,18;182,62;-0,5531;-3,6966;-11,2309;0,0576;0,0039;0,0115;-11,18;-352,0;-0,01
60;940;71,19;182,7;-0,6057;-3,6847;-11,2173;0,0596;0,0055;0,0148;-11,19;-363,19;-0,01
60;960;71,19;182,77;-0,6105;-3,6847;-11,2064;0,0592;0,006;0,0089;-11,19;-374,38;-0,0
60;980;71,2;182,83;-0,5866;-3,6631;-11,1656;0,0589;0,0012;0,0104;-11,2;-385,58;-0,0
60;1000;71,2;182,88;-0,5938;-3,6966;-11,2282;0,0584;0,004;0,0139;-11,2;-396,78;0,0
60;1020;71,21;182,91;-0,6225;-3,6344;-11,2418;0,0586;0,0063;0,0141;-11,21;-407,99;-0,02
60;1040;71,2;182,93;-0,6057;-3,6871;-11,152;0,0572;0,0033;0,0141;-11,2;-419,19;0,01
60;1060;71,18;182,94;-0,6393;-3,6655;-11,0405;0,0612;0,0057;0,0149;-11,18;-430,37;0,02
60;1080;71,16;182,97;-0,5507;-3,7038;-11,1167;0,0578;0,0041;0,0129;-11,16;-441,53;0,02
60;1100;71,14;182,98;-0,5842;-3,6919;-11,133;0,0584;0,0071;0,0139;-11,14;-452,68;0,02
60;1120;71,15;183,0;-0,5602;-3,6368;-11,1901;0,0613;0,0056;0,0127;-11,15;-463,83;-0,01
60;1140;71,15;183,0;-0,5818;-3,6488;-11,1901;0,0612;0,0039;0,0129;-11,15;-474,98;-0,0
60;1160;71,14;182,99;-0,6081;-3,6966;-11,269;0,0592;0,0059;0,0111;-11,14;-486,12;0,01
60;1180;71,13;182,99;-0,5626;-3,6871;-11,201;0,0596;0,0072;0,0115;-11,13;-497,25;0,01
60;1200;71,12;182,97;-0,5962;-3,6655;-11,2173;0,0572;0,0049;0,0127;-11,12;-508,38;0,01
