Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;27,24;-14,77;-7404;-19012;9716;12006;-4447;554;33,04;1217,12;-1,24
60;32,67;-9,34;-8188;-19804;9704;15586;1142;333;27,71;1244,83;-5,33
60;33,43;-8,3;3076;-19992;7240;16631;1195;164;26,81;1271,64;-0,9
60;34,49;-5,28;236;-19176;7000;17178;-5034;255;26,09;1297,73;-0,72
60;34,69;-6,92;712;-20936;5912;17797;1226;-284;24,64;1348,22;-1,2
60;35,09;-5,99;-1648;-18980;5752;17997;-3734;-228;24,74;1372,96;0,09
60;36,21;-9,05;6740;-18124;5404;17786;-736;-289;24,31;1397,27;-0,43
60;36,7;-9,46;1328;-17528;5368;17463;-1553;-488;23,85;1421,12;-0,46
60;36,41;-9,05;256;-16764;5456;16884;-2143;-636;23,02;1467,85;-0,69
60;36,59;-9,0;-320;-15892;5328;16119;-1973;-679;23,19;1491,05;0,17
60;36,84;-6,71;-800;-15196;5704;15240;-1550;-642;23,31;1514,36;0,12
60;37,31;-9,12;6644;-15292;3652;14298;-13;-889;23,26;1537,62;-0,05
60;36,31;-10,29;4440;-13996;2688;13092;-304;-985;23,2;1584,14;-0,12
60;37,09;-9,54;-6160;-12744;5780;11871;-2588;-585;23,08;1607,22;-0,13
60;37,75;-9,04;7648;-12476;4588;10625;605;-496;22,62;1629,84;-0,46
60;37,96;-10,39;-20;-10516;3392;9077;-673;-530;21,85;1651,69;-0,76
60;37,16;-8,3;224;-11216;4940;7536;-109;-271;22,43;1696,54;0,0
60;37,12;-8,45;-1444;-9788;4652;5985;-266;-74;22,61;1719,16;0,19
60;36,89;-8,08;4748;-9632;3964;4387;-1082;54;23,05;1742,2;0,43
60;36,28;-8,2;3528;-9432;4160;2759;1580;66;23,48;1765,69;0,44
60;35,31;-4,15;-3180;-9080;4184;1070;503;230;24,49;1814,1;0,56
60;34,26;-3,25;-556;-9096;3920;-666;-1664;405;25,23;1839,33;0,74
60;33,08;-2,7;1708;-9204;3528;-2357;-328;445;26,22;1865,56;1,0
60;34,35;-5,88;18555;288;-5719;1708;-9204;21509;27,35;1892,91;1,13
60;32,69;-7,23;1252;-10004;4028;-5798;1546;460;26,86;1945,68;0,95
60;30,93;-7,23;1460;-10424;3912;-7434;1455;526;28,36;1974,04;1,5
60;29,14;-6,93;-420;-10884;4472;-8999;1465;555;29,87;2003,91;1,51
60;30,23;-11,07;18555;288;-5719;-420;-10884;21509;31,39;2035,29;1,52
60;28,31;-10,74;4624;-13472;4620;-11703;3394;531;31,39;2096,66;1,4
60;26,31;-9,04;-2452;-13164;4332;-12707;2582;458;32,9;2129,56;1,51
60;24,33;-6,46;8;-14112;5232;-13689;5236;311;34,5;2164,06;1,6
60;26,04;-11,47;18555;288;-5719;8;-14112;21509;35,73;2199,79;1,23
60;25,08;-12,25;8720;-15388;8548;-14354;-1851;203;35,07;2268,62;1,32
60;23,72;-10,65;-1836;-17224;8396;-14142;3967;94;35,72;2304,34;0,65
60;22,84;-11,37;5604;-15552;12828;-13811;-360;195;36,76;2341,1;1,03
60;25,43;-15,97;18555;288;-5719;5604;-15552;21509;36,89;2377,98;0,13
60;25,65;-13,44;-7356;-17744;11092;-11910;1132;-286;34,48;2446,58;0,37
60;24,98;-11,04;544;-17896;9528;-10811;4385;-433;34,65;2481,23;0,17
60;24,78;-12,13;7404;-17252;11128;-9761;3244;-476;34,95;2516,17;0,29
60;28,51;-11,31;3328;0;3328;18555;288;-5719;34,84;2551,01;-0,11
60;29,22;-11,69;12192;-16200;12860;-7136;2278;-402;31,22;2613,21;0,23
60;29,0;-12,52;4036;-16904;9732;-6045;-2687;-282;30,85;2644,06;-0,37
60;29,21;-10,04;-1992;-15188;12292;-4868;-2789;-284;30,8;2674,86;-0,05
60;29,45;-8,76;-9580;-17536;8660;-3702;1141;-391;30,48;2705,34;-0,31
60;29,58;-8,91;8660;-15536;9000;-3005;-703;-231;30,66;2766,6;0,07
60;29,89;-8,33;-7804;-15536;9256;-2105;-2474;-112;30,29;2796,89;-0,37
60;29,63;-7,34;3256;-16904;8060;-1323;2471;-61;30,25;2827,13;-0,04
60;29,66;-5,94;1612;-15628;8424;-659;-3920;-2;30,29;2857,42;0,04
60;29,96;-6,57;4772;-16240;7808;-24;1687;32;30,03;2917,75;-0,27
60;30,17;-5,79;-6552;-15800;7788;539;-3533;233;29,93;2947,68;-0,1
60;30,43;-6,92;11084;-15520;7212;1027;587;277;29,93;2977,61;-0,01
60;30,99;-6,06;-9848;-16236;6932;1626;1058;440;29,33;3006,94;-0,59
60;30,97;-3,3;-1168;-15396;7040;1842;-2640;550;28,88;3065,03;-0,33
60;31,27;-2,98;6676;-15612;6744;2192;2276;581;28,81;3093,84;-0,08
60;31,62;0,49;-7816;-16052;6160;2453;1306;532;28,54;3122,38;-0,26
60;31,72;3,21;-3548;-15728;5496;2570;-783;512;28,26;3150,64;-0,28
60;31,14;4,23;-428;-15068;6216;2632;-1604;450;28,65;3207,85;0,1
60;30,97;3,78;4940;-14676;5584;2556;-1251;602;29,01;3236,85;0,36
60;30,9;2,76;1748;-14760;6480;2536;-832;504;29,07;3265,92;0,06
60;30,84;1,62;1800;-14380;6220;2440;-1002;349;29,17;3295,09;0,1
60;30,54;0,51;3820;-15164;5916;2299;-55;45;29,32;3353,78;-0,04
60;30,36;-0,62;3188;-15076;5232;2209;1229;38;29,48;3383,27;0,16
60;29,99;0,57;-1752;-15416;5548;2114;1358;-173;29,86;3413,13;0,38
60;29,68;1,22;-764;-15560;5728;1970;1245;-224;30,2;3443,33;0,33
60;29,25;0,83;-888;-15360;5624;1897;1016;-232;30,53;3504,28;0,1
60;29,16;0,49;-1212;-14564;6896;1844;-1067;-297;30,79;3535,07;0,27
60;29,23;-0,41;2968;-14024;7092;1729;-1587;-126;30,82;3565,89;0,03
60;29,41;-1,16;4004;-14088;7144;1733;-1190;-202;30,71;3596,6;-0,12
60;29,27;-1,0;-1168;-15696;6504;1766;258;-312;30,57;3657,75;0,0
60;29,56;-0,82;-5712;-15084;7324;1926;-1063;-211;30,53;3688,28;-0,04
60;29,74;-1,75;2496;-14156;7940;1944;-1742;-219;30,36;3718,64;-0,18
60;30,03;-2,72;6048;-13928;7596;1934;612;74;30,21;3748,85;-0,15
60;30,02;-2,43;-1084;-15132;6652;2082;820;-374;29,84;3808,63;-0,1
60;30,16;-3,2;2292;-14132;7208;2035;-2001;99;29,83;3838,46;-0,0
60;30,48;-4,22;1240;-14248;7992;2065;-1875;-28;29,58;3868,04;-0,25
60;30,68;-4,56;-1076;-14812;7268;2063;980;-113;29,33;3897,37;-0,25
60;30,84;-3,48;-5540;-14612;6848;2056;623;-195;29,17;3955,72;-0,0
60;30,8;-2,74;-2312;-14548;6896;1987;-889;58;29,14;3984,86;-0,04
60;30,89;-3,26;1696;-13568;7820;1766;-1421;283;29,17;4014,03;0,03
60;31,09;-4,45;3176;-13548;7300;1573;255;332;28,97;4043,0;-0,19
60;30,95;-4,97;1112;-14660;6228;1450;1182;157;28,87;4100,78;-0,04
60;30,92;-5,39;-860;-14480;6180;1249;1444;198;28,91;4129,7;0,04
60;30,78;-4,82;-1716;-14060;6548;1028;213;-9;29,12;4158,81;0,2
60;30,56;-4,5;-380;-13680;6932;785;-736;253;29,36;4188,17;0,25
60;30,32;-4,1;2904;-13060;7736;445;-1200;357;29,73;4247,48;0,16
60;30,26;-4,02;5152;-12976;6840;178;-735;478;29,81;4277,29;0,07
60;30,03;-3,86;2088;-13392;7172;-39;634;274;29,91;4307,2;0,1
60;29,78;-3,32;-424;-14056;6452;-305;1761;202;30,02;4337,22;0,11
60;29,57;-2,53;-4288;-14412;5992;-502;740;234;30,36;4397,77;0,16
60;29,38;-2,15;-1356;-14424;6788;-604;-118;189;30,49;4428,25;0,13
60;29,4;-2,71;3220;-12980;8292;-778;-773;285;30,64;4458,89;0,15
60;29,44;-3,4;2000;-13720;8228;-867;1739;282;30,5;4489,39;-0,15
60;29,48;-3,74;-1952;-14740;7664;-865;1505;190;30,47;4550,23;0,11
60;29,34;-3,51;-1248;-14080;7788;-879;-1648;134;30,62;4580,85;0,14
60;29,48;-4,46;7300;-13452;8948;-876;387;261;30,71;4611,56;0,09
60;29,58;-4,34;-3200;-14832;8024;-773;1670;66;30,34;4641,9;-0,37
60;29,64;-2,6;-3688;-14024;8128;-661;-1535;75;30,42;4702,77;-0,02
60;29,94;-2,36;8028;-13344;9200;-612;75;233;30,33;4733,09;-0,1
60;30,04;-0,27;-4856;-14780;7764;-447;1619;-177;29,96;4763,05;-0,37
60;30,14;0,47;1188;-13524;8676;-441;-2386;54;29,87;4792,92;-0,09
60;30,67;-0,38;8096;-13764;8868;-350;505;-7;29,57;4852,24;-0,17
60;30,88;-0,18;-5708;-14964;7680;-263;1477;-332;29,14;4881,38;-0,43
60;30,83;-0,51;-924;-13784;7748;-287;-2198;-85;29,11;4910,48;-0,03
60;31,01;-1,6;7240;-13332;8728;-292;-746;-56;29,18;4939,66;0,07
60;30,83;-1,46;-480;-14232;7492;-361;1561;-253;29,1;4997,78;0,08
60;30,68;-1,0;-3104;-14404;6552;-423;-716;-233;29,21;5026,99;0,11
60;30,72;-2,19;2860;-13420;7476;-528;-1820;-48;29,24;5056,23;0,03
60;30,75;-3,19;4200;-13184;8524;-638;-789;78;29,3;5085,53;0,06
60;30,56;-3,31;1464;-14200;7316;-802;828;22;29,37;5144,19;0,08
60;30,45;-3,33;-2624;-14384;6820;-843;656;-91;29,43;5173,62;0,07
60;30,25;-3,36;-656;-14004;7188;-918;-1047;28;29,62;5203,24;0,18
60;30,07;-3,62;3360;-13392;7416;-1072;-1202;206;29,86;5233,1;0,24
60;29,97;-3,85;2156;-13808;7960;-1119;387;58;30,04;5293,12;0,05
60;29,79;-3,59;-2736;-14748;7328;-1158;1257;-108;30,12;5323,24;0,09
60;29,65;-3,24;-3232;-14480;7516;-1164;-78;168;30,27;5353,52;0,15
60;29,55;-3,76;4076;-13668;8320;-1237;-660;132;30,44;5383,96;0,17
60;29,47;-3,96;492;-14804;8724;-1210;1936;264;30,54;5445,03;0,01
60;29,49;-3,82;-4148;-14612;8112;-1046;-571;183;30,53;5475,56;-0,01
60;29,73;-5,2;5552;-13408;9052;-1009;-1131;411;30,41;5505,97;-0,12
60;29,83;-5,58;-472;-14656;8448;-833;2508;110;30,1;5536,07;-0,31
60;30,04;-4,4;-5340;-14516;7608;-664;-2071;305;30,02;5596,05;0,05
60;30,31;-4,32;8444;-13832;8968;-604;632;350;29,93;5625,99;-0,08
60;30,37;-2,52;-2800;-15180;7676;-410;2243;80;29,56;5655,55;-0,37
60;30,49;-1,41;-800;-13900;7932;-261;-2738;249;29,48;5685,03;-0,09
60;30,88;-2,0;6428;-14048;8860;-190;1341;30;29,28;5743,74;-0,15
60;30,99;-1,92;-3568;-14816;7540;-47;1767;-46;28,98;5772,71;-0,31
60;31,09;-2,74;848;-13552;7652;-3;-2172;47;28,88;5801,59;-0,1
60;31,4;-4,15;8516;-13616;8016;-85;532;59;28,82;5830,41;-0,06
