Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
30;0;80,71;176,89;-904;-2800;-17196;-425;12;99
30;20;80,68;176,87;-956;-2836;-17136;-432;35;70
30;40;80,76;176,99;-800;-2736;-17284;-432;18;94
30;60;80,76;176,95;-960;-2816;-17284;-419;14;78
30;80;80,77;176,94;-944;-2796;-17308;-444;36;91
30;100;80,8;176,93;-932;-2764;-17280;-425;-1;82
30;120;80,78;176,97;-840;-2796;-17116;-401;28;81
30;140;80,74;176,9;-1096;-2900;-17220;-405;40;60
30;160;80,72;176,88;-964;-2876;-17120;-453;-3;100
30;180;80,76;176,92;-820;-2696;-17224;-420;37;99
30;200;80,75;176,95;-828;-2796;-17188;-401;-3;79
30;220;80,73;176,96;-868;-2896;-17220;-406;23;76
30;240;80,75;176,94;-992;-2748;-17284;-443;24;68
30;260;80,76;176,95;-892;-2740;-17196;-429;-10;109
30;280;80,76;176,97;-816;-2828;-17184;-437;27;87
30;300;80,74;176,97;-928;-2856;-17200;-415;34;87
30;320;80,74;176,97;-896;-2824;-17128;-428;8;73
30;340;80,73;176,97;-912;-2816;-17136;-426;16;73
30;360;80,73;176,95;-980;-2804;-17120;-420;-5;99
30;380;80,74;176,96;-860;-2752;-17136;-425;26;79
30;400;80,75;176,97;-896;-2780;-17216;-442;22;73
30;420;80,73;176,99;-820;-2888;-17288;-421;4;97
30;440;80,73;176,98;-940;-2812;-17220;-438;-6;82
30;460;80,74;176,99;-848;-2756;-17232;-421;26;63
30;480;80,74;176,98;-956;-2796;-17016;-419;-11;87
30;500;80,74;176,98;-872;-2772;-17168;-432;6;82
30;520;80,73;176,96;-1016;-2852;-17024;-415;12;83
30;540;80,73;176,96;-912;-2844;-17328;-456;35;103
30;560;80,73;176,99;-780;-2792;-17228;-450;-16;83
30;580;80,73;176,99;-928;-2824;-17184;-398;64;78
30;600;80,72;176,99;-872;-2824;-17164;-439;-25;90
30;620;80,73;176,98;-964;-2768;-17144;-445;33;99
30;640;80,73;176,99;-864;-2820;-17176;-429;0;83
30;660;80,72;177,0;-864;-2820;-17236;-403;56;75
30;680;80,73;176,98;-968;-2796;-17192;-417;-19;77
30;700;80,74;176,98;-924;-2760;-17288;-459;59;91
30;720;80,75;176,97;-936;-2740;-17204;-392;-19;99
30;740;80,76;176,99;-860;-2784;-17224;-413;47;69
30;760;80,75;176,99;-900;-2828;-17292;-407;-15;97
30;780;80,75;176,99;-912;-2848;-17196;-459;15;81
30;800;80,75;177,0;-856;-2824;-17280;-427;14;79
30;820;80,76;176,99;-920;-2768;-17212;-438;-3;95
30;840;80,74;177,01;-832;-2852;-17124;-424;41;85
30;860;80,72;177,01;-900;-2892;-17188;-420;-12;79
30;880;80,72;177,0;-936;-2816;-17168;-446;13;96
30;900;80,72;177,0;-928;-2828;-17216;-397;27;73
30;920;80,74;176,99;-956;-2676;-17192;-405;8;56
30;940;80,75;177,0;-888;-2780;-17300;-434;57;77
30;960;80,76;176,99;-900;-2772;-17200;-424;-33;79
30;980;80,76;176,98;-968;-2816;-17228;-455;40;75
30;1000;80,75;176,98;-896;-2860;-17316;-386;9;79
30;1020;80,75;176,98;-912;-2800;-17152;-429;22;90
30;1040;80,75;177,0;-820;-2796;-17184;-420;29;77
30;1060;80,77;177,02;-828;-2712;-17284;-429;27;67
30;1080;80,78;177,01;-952;-2732;-17108;-420;37;89
30;1100;80,78;176,99;-980;-2788;-17188;-420;18;82
30;1120;80,79;176,99;-940;-2748;-17064;-408;30;55
30;1140;80,78;176,97;-976;-2816;-17124;-439;-5;89
30;1160;80,77;176,97;-916;-2852;-17280;-387;-2;68
30;1180;80,78;176,96;-948;-2740;-17108;-408;-10;94
30;1200;80,77;176,97;-848;-2848;-17176;-439;49;94
30;1220;80,79;176,98;-900;-2724;-17288;-456;32;83
30;1240;80,79;176,97;-936;-2788;-17188;-431;40;90
30;1260;80,78;176,98;-864;-2832;-17136;-430;-1;96
30;1280;80,79;176,97;-1004;-2764;-17228;-432;52;100
30;1300;80,79;176,97;-852;-2796;-17120;-436;-12;89
30;1320;80,78;176,99;-832;-2824;-17148;-416;45;80
30;1340;80,78;176,99;-908;-2828;-17228;-450;10;75
30;1360;80,79;177,0;-844;-2760;-17164;-436;21;77
30;1380;80,78;177,02;-800;-2824;-17200;-396;-12;83
30;1400;80,78;177,01;-944;-2800;-17200;-415;34;77
30;1420;80,77;177,02;-840;-2876;-17232;-426;15;87
30;1440;80,76;177,02;-904;-2800;-17120;-439;-18;61
30;1460;80,77;177,0;-972;-2764;-17112;-442;2;102
30;1480;80,77;177,02;-816;-2792;-17128;-435;34;90
30;1500;80,76;177,01;-908;-2848;-17236;-405;5;78
30;1520;80,76;177,03;-816;-2812;-17120;-448;31;87
30;1540;80,76;177,01;-992;-2796;-16992;-451;-3;105
30;1560;80,76;177,0;-968;-2756;-17164;-397;45;82
30;1580;80,74;176,99;-936;-2920;-17252;-400;-1;70
30;1600;80,75;177,01;-856;-2792;-17216;-443;48;84
30;1620;80,75;176,99;-984;-2764;-17300;-428;4;81
30;1640;80,76;176,99;-936;-2764;-17224;-418;49;84
30;1660;80,77;177,0;-848;-2756;-17264;-435;-31;94
30;1680;80,78;176,98;-976;-2724;-17144;-418;38;84
30;1700;80,78;176,99;-864;-2828;-17228;-424;2;70
30;1720;80,77;176,99;-912;-2804;-17224;-403;52;87
30;1740;80,79;176,99;-880;-2752;-17132;-473;-28;84
30;1760;80,8;177,0;-852;-2728;-17236;-442;28;81
30;1780;80,79;177,01;-852;-2808;-17156;-384;-5;78
30;1800;80,79;177,01;-920;-2768;-17192;-425;24;85
30;1820;80,8;177,01;-864;-2768;-17208;-462;-6;68
30;1840;80,8;177,0;-984;-2788;-17248;-402;34;60
30;1860;80,8;177,01;-840;-2792;-17164;-416;4;65
30;1880;80,8;177,02;-808;-2800;-17220;-423;32;87
30;1900;80,81;177,02;-916;-2796;-17308;-462;-5;93
30;1920;80,8;177,02;-884;-2836;-17184;-428;28;86
30;1940;80,81;177,0;-976;-2712;-17208;-392;-46;101
30;1960;80,81;177,01;-940;-2812;-17240;-449;117;55
30;1980;80,81;177,02;-816;-2780;-17244;-458;12;94
30;2000;80,81;177,01;-944;-2804;-17184;-420;16;93
30;2020;80,81;177,01;-900;-2780;-17276;-386;11;75
30;2040;80,81;177,01;-948;-2804;-17224;-468;29;75
30;2060;80,82;177,02;-872;-2796;-17352;-433;58;98
30;2080;80,82;177,03;-796;-2732;-17156;-418;22;94
30;2100;80,83;177,03;-904;-2740;-17292;-399;30;91
30;2120;80,83;177,05;-812;-2792;-17216;-405;-3;97
30;2140;80,83;177,05;-860;-2804;-17160;-464;52;86
30;2160;80,83;177,05;-936;-2760;-17200;-410;3;79
30;2180;80,82;177,05;-872;-2848;-17248;-429;-11;76
30;2200;80,83;177,01;-1044;-2744;-17148;-407;-68;81
30;2220;80,83;177,02;-924;-2816;-17104;-485;145;58
30;2240;80,82;177,01;-908;-2780;-17236;-378;-112;105
30;2260;80,8;176,99;-976;-2876;-17044;-372;-18;75
30;2280;80,81;177,0;-848;-2784;-17244;-468;34;61
30;2300;80,81;177,0;-880;-2796;-17312;-426;-21;93
30;2320;80,81;177,0;-968;-2832;-17336;-451;28;65
30;2340;80,81;177,0;-904;-2788;-17288;-401;-4;85
30;2360;80,81;176,98;-1044;-2808;-17320;-451;44;88
30;2380;80,81;176,98;-920;-2772;-17152;-387;-1;87
30;2400;80,81;176,98;-876;-2784;-17112;-432;52;74
30;2420;80,81;176,98;-900;-2840;-17288;-444;-32;75
30;2440;80,81;176,97;-988;-2732;-17192;-425;44;82
30;2460;80,82;176,98;-864;-2764;-17260;-427;19;66
30;2480;80,82;176,98;-832;-2820;-17192;-432;-26;109
30;2500;80,81;176,98;-896;-2804;-17208;-347;-2;73
30;2520;80,8;176,98;-944;-2876;-17176;-460;36;68
30;2540;80,79;176,96;-1040;-2904;-17328;-460;27;99
30;2560;80,78;176,96;-940;-2892;-17304;-461;13;81
30;2580;80,79;176,97;-852;-2736;-17204;-444;8;75
30;2600;80,8;176,97;-904;-2740;-17224;-437;36;80
30;2620;80,79;176,98;-876;-2840;-17192;-403;36;87
30;2640;80,79;176,98;-844;-2816;-17228;-441;-5;74
30;2660;80,8;176,99;-864;-2708;-17228;-449;64;79
30;2680;80,79;176,97;-1032;-2836;-17108;-410;-52;79
30;2700;80,8;176,98;-864;-2732;-17060;-470;88;53
30;2720;80,81;176,98;-916;-2812;-17352;-465;-22;113
30;2740;80,8;176,97;-988;-2844;-17168;-377;26;85
30;2760;80,8;176,98;-828;-2820;-17268;-446;12;110
30;2780;80,8;176,98;-884;-2764;-17220;-413;34;80
30;2800;80,8;176,98;-944;-2756;-17136;-436;-11;73
30;2820;80,8;176,98;-864;-2796;-17108;-417;23;67
30;2840;80,81;176,98;-904;-2724;-17244;-424;4;77
30;2860;80,81;176,99;-888;-2812;-17268;-421;33;78
30;2880;80,8;176,99;-904;-2816;-17316;-417;3;83
30;2900;80,8;176,97;-996;-2792;-17136;-402;17;78
30;2920;80,81;176,97;-884;-2760;-17380;-439;-26;88
30;2940;80,82;176,98;-880;-2632;-17048;-395;30;74
30;2960;80,82;176,98;-852;-2812;-17152;-441;-27;109
30;2980;80,81;176,98;-976;-2824;-17140;-422;69;105
30;3000;80,81;176,98;-864;-2760;-17152;-394;19;92
30;3020;80,82;177,0;-828;-2804;-17332;-487;50;93
30;3040;80,82;177,0;-852;-2796;-17324;-388;-8;81
30;3060;80,81;176,99;-996;-2884;-17212;-448;54;58
30;3080;80,82;176,99;-912;-2716;-17156;-448;37;63
30;3100;80,82;176,98;-1000;-2744;-17312;-388;-35;101
30;3120;80,82;176,98;-900;-2824;-17268;-427;60;78
30;3140;80,83;176,99;-864;-2724;-17268;-447;22;89
30;3160;80,84;176,99;-860;-2744;-17364;-400;2;94
30;3180;80,84;177,0;-920;-2764;-17316;-456;36;93
30;3200;80,85;177,0;-844;-2756;-17224;-414;-32;98
30;3220;80,83;177,0;-932;-2884;-17260;-398;40;71
30;3240;80,84;176,99;-960;-2768;-17240;-470;17;83
30;3260;80,83;176,99;-900;-2852;-17156;-393;22;105
30;3280;80,82;176,99;-928;-2832;-17152;-418;1;82
30;3300;80,83;176,98;-956;-2780;-17220;-484;42;83
30;3320;80,84;176,97;-984;-2664;-17176;-382;23;79
30;3340;80,84;176,97;-936;-2756;-17176;-432;13;74
30;3360;80,84;176,97;-940;-2776;-17284;-430;30;97
30;3380;80,84;176,97;-892;-2776;-17276;-424;-22;84
30;3400;80,84;176,97;-892;-2776;-17296;-400;-13;66
30;3420;80,85;176,97;-912;-2800;-17180;-459;43;86
30;3440;80,85;176,97;-904;-2784;-17088;-453;3;100
30;3460;80,83;176,96;-932;-2828;-17300;-360;16;67
30;3480;80,83;176,98;-780;-2832;-17228;-453;15;78
30;3500;80,84;176,97;-976;-2724;-17244;-450;6;78
30;3520;80,84;176,97;-872;-2756;-17096;-416;-20;102
30;3540;80,83;176,98;-876;-2840;-17224;-419;67;66
30;3560;80,84;176,97;-928;-2772;-17232;-416;-31;87
30;3580;80,84;176,97;-996;-2764;-17132;-439;40;65
30;3600;80,84;176,96;-944;-2776;-17248;-453;26;108
30;3620;80,85;176,96;-912;-2716;-17244;-442;-18;80
30;3640;80,84;176,95;-956;-2836;-17308;-369;12;65
30;3660;80,84;176,96;-828;-2820;-17080;-443;0;64
30;3680;80,83;176,95;-984;-2880;-17228;-462;21;96
30;3700;80,82;176,95;-956;-2800;-17144;-378;25;95
30;3720;80,83;176,94;-940;-2716;-17168;-433;3;112
30;3740;80,83;176,95;-888;-2784;-17228;-461;2;100
30;3760;80,84;176,95;-876;-2700;-17196;-395;18;84
30;3780;80,85;176,95;-912;-2728;-17312;-463;17;90
30;3800;80,85;176,95;-868;-2780;-17200;-392;-16;91
30;3820;80,85;176,96;-888;-2788;-17240;-398;31;65
30;3840;80,85;176,97;-792;-2796;-17176;-489;-14;80
30;3860;80,85;176,96;-1028;-2788;-17228;-413;34;96
30;3880;80,85;176,96;-880;-2712;-17076;-416;-19;90
30;3900;80,85;176,96;-952;-2788;-17136;-457;69;68
30;3920;80,86;176,97;-808;-2688;-17164;-412;-37;95
30;3940;80,86;176,96;-968;-2808;-17284;-417;17;81
30;3960;80,87;176,96;-924;-2748;-17244;-462;34;77
30;3980;80,87;176,96;-900;-2788;-17284;-410;26;79
30;4000;80,85;176,98;-808;-2848;-17164;-415;1;96
30;4020;80,86;176,98;-908;-2780;-17220;-449;23;83
30;4040;80,85;176,98;-912;-2800;-17168;-443;12;102
30;4060;80,85;176,97;-916;-2788;-17268;-393;-9;85
30;4080;80,83;176,97;-916;-2888;-17144;-407;17;96
30;4100;80,83;176,96;-976;-2800;-17136;-439;26;97
30;4120;80,83;176,96;-960;-2788;-17136;-465;20;81
30;4140;80,83;176,96;-924;-2828;-17236;-413;14;58
30;4160;80,83;176,95;-976;-2704;-17204;-399;2;90
30;4180;80,85;176,95;-920;-2704;-17276;-467;23;89
30;4200;80,86;176,95;-872;-2708;-17352;-391;-24;94
30;4220;80,85;176,95;-956;-2836;-17260;-411;53;61
30;4240;80,85;176,94;-964;-2768;-17160;-429;-18;80
30;4260;80,85;176,94;-932;-2800;-17112;-440;56;62
30;4280;80,84;176,94;-952;-2832;-17140;-415;12;91
30;4300;80,84;176,94;-876;-2788;-17192;-414;36;81
30;4320;80,83;176,94;-928;-2776;-17244;-396;9;67
30;4340;80,83;176,95;-868;-2852;-17188;-450;30;93
30;4360;80,84;176,95;-908;-2688;-17100;-427;22;83
30;4380;80,83;176,95;-880;-2788;-17280;-385;16;69
30;4400;80,83;176,96;-840;-2780;-17148;-432;-3;94
30;4420;80,85;176,96;-972;-2696;-17224;-467;32;93
30;4440;80,85;176,95;-988;-2784;-17332;-417;23;80
30;4460;80,84;176,95;-892;-2828;-17280;-403;-11;69
30;4480;80,84;176,96;-868;-2840;-17144;-455;53;84
30;4500;80,83;176,97;-848;-2856;-17188;-425;10;77
30;4520;80,82;176,96;-972;-2824;-17252;-398;24;84
30;4540;80,82;176,96;-908;-2808;-17272;-441;15;75
30;4560;80,81;176,95;-996;-2836;-17168;-440;20;96
30;4580;80,82;176,94;-952;-2724;-17212;-423;12;88
30;4600;80,83;176,95;-880;-2708;-17208;-440;16;72
30;4620;80,84;176,95;-940;-2768;-17288;-426;6;102
30;4640;80,84;176,95;-880;-2732;-17200;-423;5;82
30;4660;80,83;176,96;-852;-2880;-17080;-442;5;71
30;4680;80,82;176,95;-924;-2848;-17188;-427;19;84
30;4700;80,82;176,96;-864;-2792;-17248;-445;3;93
30;4720;80,81;176,98;-792;-2864;-17144;-399;24;96
30;4740;80,8;176,97;-936;-2820;-17268;-420;34;92
30;4760;80,81;176,97;-956;-2744;-17188;-411;11;78
30;4780;80,83;176,97;-864;-2644;-17224;-446;21;77
30;4800;80,82;176,98;-900;-2876;-17280;-433;22;89
30;4820;80,82;176,98;-892;-2764;-17212;-451;-9;97
30;4840;80,84;176,99;-852;-2684;-17152;-430;34;80
30;4860;80,82;176,98;-944;-2848;-17152;-394;-9;87
30;4880;80,84;176,97;-1004;-2680;-17212;-433;34;95
30;4900;80,84;176,97;-840;-2760;-17276;-429;-20;83
30;4920;80,84;176,98;-920;-2764;-17252;-434;47;80
30;4940;80,85;176,97;-964;-2740;-17372;-435;29;93
30;4960;80,85;176,97;-964;-2796;-17280;-419;33;89
