Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
60;0;82,51;-179,72;0,079;-1,336;-11,8485;0,0665;0,0021;-0,0039;-22,51;-67,28;-0,1
60;20;82,62;-179,78;0,0096;-1,3096;-11,99;0,0625;-0,0033;0,0149;-22,62;-89,9;-0,1
60;40;82,64;179,95;-0,0096;-1,3288;-11,8485;0,0584;0,0007;0,0095;-22,64;-112,55;-0,02
60;60;82,61;-179,82;0,0335;-1,391;-11,8975;0,0685;0,0041;0,0184;-22,61;-135,16;0,03
60;80;82,6;179,47;-0,0958;-1,3695;-11,7696;0,0747;-0,0033;0,0181;-22,6;-157,75;0,01
60;100;82,59;-179,71;0,0527;-1,3719;-12,0199;0,049;0,0057;0,0284;-22,59;-180,35;0,01
60;120;82,58;-179,63;0,1245;-1,3671;-11,9546;0,0318;-0,0004;0,0365;-22,58;-202,92;0,02
60;140;82,49;-179,68;0,0144;-1,494;-11,9818;0,0409;0,0047;0,0216;-22,49;-225,41;0,09
60;160;82,46;-179,71;0,0239;-1,4222;-11,8512;0,0562;0,0008;0,029;-22,46;-247,87;0,03
60;180;82,48;179,97;-0,0048;-1,3479;-11,9356;0,0655;0,0047;0,0203;-22,48;-270,35;-0,02
60;200;82,43;-179,81;0,0359;-1,4916;-11,9954;0,0695;-0,0007;0,0289;-22,43;-292,79;0,05
60;220;82,44;-179,79;0,0527;-1,3791;-11,9492;0,0667;0,0019;0,0085;-22,44;-315,23;-0,01
60;240;82,47;179,95;-0,0096;-1,3288;-11,8975;0,0542;-0,0023;0,0068;-22,47;-337,7;-0,02
60;260;82,46;-179,97;0,0048;-1,391;-11,9301;0,0577;0,0004;0,0087;-22,46;-360,16;0,01
60;280;82,45;-179,93;0,0766;-1,415;-11,8676;0,0675;-0,0065;0,0135;-22,45;-382,61;0,01
60;300;82,44;179,53;-0,0862;-1,4006;-11,8621;0,0612;-0,0221;0,0276;-22,44;-405,05;0,01
60;320;82,43;179,59;-0,0096;-1,4078;-12,0335;0,0465;0,026;0,0113;-22,43;-427,47;0,01
60;340;82,41;179,6;-0,0479;-1,4126;-11,824;0,0665;-0,0081;0,0116;-22,41;-449,88;0,01
60;360;82,41;179,61;-0,0575;-1,3934;-11,9056;0,0609;-0,0053;0,0143;-22,41;-472,29;0,0
60;380;82,43;-179,62;0,0694;-1,3479;-11,9029;0,0582;0,0025;0,0088;-22,43;-494,72;-0,02
60;400;82,41;179,87;-0,0239;-1,4198;-11,9138;0,0633;-0,0037;0,0141;-22,41;-517,13;0,01
60;420;82,42;-179,54;0,0838;-1,3767;-11,9709;0,0581;0,0073;0,0113;-22,42;-539,56;-0,01
60;440;82,42;-179,56;0,0527;-1,3958;-11,9383;0,0628;0,0013;0,0112;-22,42;-561,98;0,0
60;460;82,42;-179,56;0,067;-1,3982;-11,9301;0,0652;0,0013;0,0089;-22,42;-584,4;0,0
60;480;82,41;179,84;-0,0287;-1,415;-11,8703;0,0626;0,0044;0,01;-22,41;-606,81;0,01
60;500;82,42;-179,91;0,0168;-1,3791;-11,9655;0,0586;0,0003;0,0095;-22,42;-629,23;-0,01
60;520;82,42;-179,9;0,0192;-1,3982;-11,9546;0,0617;0,0051;0,0096;-22,42;-651,64;0,0
60;540;82,42;180,0;0,0;-1,3982;-11,9709;0,0626;0,0009;0,0124;-22,42;-674,06;-0,0
60;560;82,4;-179,84;0,0287;-1,4198;-11,9301;0,058;0,0005;0,0105;-22,4;-696,46;0,01
60;580;82,42;-179,85;0,0096;-1,3599;-11,9601;0,0584;0,0029;0,0123;-22,42;-718,88;-0,02
60;600;82,41;179,83;-0,0311;-1,4126;-11,9492;0,0601;0,0017;0,0123;-22,41;-741,29;0,01
60;620;82,42;179,84;-0,0168;-1,3671;-11,9601;0,0598;-0,0009;0,0101;-22,42;-763,71;-0,01
60;640;82,41;-179,88;0,0215;-1,4293;-11,9465;0,0609;0,0057;0,0105;-22,41;-786,12;0,02
60;660;82,44;-179,88;0,0144;-1,3431;-11,9682;0,064;0,0059;0,0079;-22,44;-808,56;-0,03
60;680;82,45;-179,87;0,0311;-1,3551;-11,8703;0,0612;-0,0012;0,0087;-22,45;-831,01;-0,01
60;700;82,45;-179,88;0,0024;-1,3862;-11,9247;0,0533;-0,002;0,0115;-22,45;-853,45;0,0
60;720;82,46;179,87;-0,0239;-1,3503;-11,9192;0,058;0,0037;0,0069;-22,46;-875,92;-0,02
60;740;82,48;-179,55;0,0814;-1,3599;-11,8757;0,0653;0,0021;0,0088;-22,48;-898,39;-0,01
60;760;82,47;-179,57;0,0335;-1,403;-11,8812;0,0606;0,0047;0,0087;-22,47;-920,86;0,01
60;780;82,46;-179,6;0,0215;-1,4198;-11,9791;0,0618;0,0024;0,0087;-22,46;-943,31;0,01
60;800;82,47;-179,62;0,0239;-1,3575;-11,9056;0,0645;0,0021;0,0099;-22,47;-965,78;-0,01
60;820;82,48;179,88;-0,0215;-1,3503;-11,8431;0,0592;0,0001;0,0088;-22,48;-988,27;-0,01
60;840;82,49;-179,6;0,0742;-1,3791;-12,0226;0,061;0,0015;0,0097;-22,49;-1010,76;-0,01
60;860;82,48;179,88;-0,0215;-1,415;-11,9138;0,0621;0,0001;0,008;-22,48;-1033,23;0,01
60;880;82,47;-179,9;0,0192;-1,3982;-11,922;0,06;0,0012;0,0077;-22,47;-1055,7;0,01
60;900;82,49;-179,88;0,0575;-1,3336;-11,8703;0,0589;0,0009;0,0085;-22,49;-1078,19;-0,02
60;920;82,49;179,79;-0,0383;-1,3982;-11,9301;0,0622;-0,0009;0,0107;-22,49;-1100,68;0,0
60;940;82,5;-179,82;0,0335;-1,3384;-11,9084;0,0593;0,002;0,0097;-22,5;-1123,18;-0,02
60;960;82,49;-179,83;0,012;-1,4102;-11,9301;0,0573;0,0017;0,0111;-22,49;-1145,67;0,01
60;980;82,49;-179,82;0,0407;-1,3886;-11,8893;0,0636;0,0012;0,0097;-22,49;-1168,16;0,0
60;1000;82,48;-179,82;0,0383;-1,4126;-11,8948;0,0613;0,0028;0,0084;-22,48;-1190,64;0,01
60;1020;82,48;-179,82;0,0407;-1,3623;-11,8812;0,06;0,0004;0,0079;-22,48;-1213,13;-0,01
60;1040;82,48;-179,81;0,0527;-1,3934;-11,9601;0,0621;0,0019;0,0092;-22,48;-1235,61;0,0
60;1060;82,48;-179,79;0,0599;-1,391;-11,9056;0,0604;0,0008;0,0119;-22,48;-1258,09;0,0
60;1080;82,46;-179,8;0,0192;-1,4269;-11,8213;0,06;-0,0004;0,0089;-22,46;-1280,55;0,02
60;1100;82,46;-179,81;0,0192;-1,4054;-11,9655;0,0632;0,0056;0,0075;-22,46;-1303,01;0,0
60;1120;82,45;-179,82;0,0144;-1,4269;-11,9791;0,0638;0,0052;0,012;-22,45;-1325,46;0,01
60;1140;82,46;-179,83;0,0072;-1,3671;-11,9873;0,0598;0,0;0,0092;-22,46;-1347,92;-0,01
60;1160;82,47;179,99;-0,0024;-1,3695;-11,9002;0,0612;0,0043;0,0116;-22,47;-1370,39;-0,01
60;1180;82,46;-179,75;0,0455;-1,4222;-12,009;0,0622;0,0019;0,0075;-22,46;-1392,85;0,01
60;1200;82,45;-179,76;0,0359;-1,4341;-11,9247;0,0648;0,0003;0,0101;-22,45;-1415,29;0,01
60;1220;82,44;-179,76;0,0407;-1,4054;-11,8131;0,0632;0,0049;0,0087;-22,44;-1437,73;0,01
60;1240;82,46;-179,76;0,0527;-1,3288;-11,9383;0,0626;0,0012;0,0097;-22,46;-1460,19;-0,02
60;1260;82,45;-179,77;0,0168;-1,4198;-11,8784;0,0597;-0,0001;0,0156;-22,45;-1482,64;0,01
