Gas;Position
0;89,8
0;6,77
0;-9,8
0;-13,19
0;-13,08
0;-11,94
0;-10,88
0;-9,63
0;-8,45
0;-7,27
0;-6,12
0;-5,22
0;-4,06
0;-2,95
0;-1,89
0;-1,1
0;-0,19
1;0,45
1;1,41
1;2,24
1;2,85
1;3,14
1;3,48
1;3,81
1;4,02
1;4,16
1;4,19
1;4,25
1;4,17
1;4,33
1;4,41
1;4,41
1;4,4
1;4,29
2;4,32
2;4,34
2;4,22
2;4,37
2;4,25
2;4,02
2;4,05
2;4,02
2;3,99
2;3,96
2;3,84
2;3,8
2;3,87
2;3,8
2;3,78
2;3,73
2;3,88
3;3,87
3;3,87
3;3,76
3;3,74
3;3,83
3;3,92
3;3,96
3;3,94
3;3,93
3;3,86
3;3,86
3;3,82
3;3,86
3;3,8
3;3,69
3;3,66
3;3,73
4;3,63
4;3,73
4;3,63
4;3,82
4;3,87
4;3,84
4;3,92
4;3,91
4;3,91
4;4,13
4;4,09
4;3,98
4;4,09
4;4,13
4;4,15
4;4,17
4;4,16
5;4,27
5;4,11
5;4,06
5;4,05
5;4,05
5;3,95
5;3,98
5;3,96
5;3,93
5;3,87
5;3,88
5;3,97
5;4,03
5;3,86
5;3,89
5;3,66
5;3,65
6;3,57
6;3,76
6;3,86
6;3,92
6;3,99
6;4,08
6;4,14
6;4,19
6;4,28
6;4,13
6;4,11
6;3,88
6;3,97
6;3,92
6;3,98
6;3,83
6;3,9
7;3,75
7;3,83
7;3,81
7;3,89
7;3,9
7;3,93
7;3,97
7;3,92
7;3,95
7;3,91
7;4,0
7;4,09
7;3,95
7;3,91
7;3,86
7;3,73
7;3,59
8;3,51
8;3,63
8;3,67
8;3,62
8;3,75
8;3,93
8;3,9
8;3,98
8;4,04
8;4,03
8;3,95
8;4,07
8;4,06
8;4,14
8;4,04
8;3,94
8;3,8
9;3,78
9;3,97
9;3,88
9;3,91
9;4,01
9;3,98
9;4,09
9;4,08
9;3,98
9;4,05
9;3,97
9;4,02
9;4,0
9;4,01
9;3,99
9;4,03
9;3,99
10;4,09
10;4,06
10;3,98
10;3,9
10;3,85
10;3,87
10;3,91
10;3,85
10;3,88
10;3,81
10;3,72
10;3,68
10;3,73
10;3,81
10;3,75
10;3,9
10;3,96
