Gas;Position
0;93,37
0;53,72
0;37,99
0;29,4
0;23,7
0;19,37
0;15,86
0;12,97
0;10,47
0;8,27
0;6,37
0;4,77
0;3,41
0;2,3
0;1,41
0;0,69
0;0,13
0;-0,36
0;-0,66
0;-0,92
0;-1,15
0;-1,3
0;-1,32
0;-1,34
0;-1,31
0;-1,3
0;-1,22
0;-1,19
0;-1,11
0;-1,06
0;-0,91
0;-0,84
0;-0,73
0;-0,66
0;-0,57
0;-0,44
0;-0,31
0;-0,22
0;-0,13
0;-0,01
0;0,13
0;0,24
0;0,29
0;0,39
0;0,41
0;0,47
0;0,57
0;0,68
0;0,75
0;0,84
0;0,91
0;0,97
0;1,07
0;1,15
0;1,18
0;1,25
0;1,32
0;1,37
0;1,44
0;1,47
0;1,51
0;1,56
0;1,62
0;1,68
0;1,75
0;1,77
0;1,8
0;1,81
0;1,84
0;1,92
0;1,99
0;2,05
0;2,05
0;2,12
0;2,15
0;2,16
0;2,2
0;2,27
0;2,31
0;2,33
0;2,37
0;2,4
0;2,46
0;2,51
0;2,53
0;2,56
0;2,57
0;2,59
0;2,65
0;2,68
0;2,72
0;2,77
0;2,79
0;2,81
0;2,83
0;2,85
0;2,87
0;2,9
0;2,94
0;3,0
0;3,02
0;3,07
0;3,08
0;3,1
0;3,12
0;3,16
0;3,18
0;3,18
0;3,21
0;3,23
0;3,23
0;3,26
0;3,31
0;3,31
0;3,34
0;3,36
0;3,39
0;3,42
0;3,43
0;3,45
0;3,46
0;3,49
0;3,48
0;3,52
0;3,54
0;3,59
0;3,61
0;3,63
0;3,65
0;3,67
0;3,69
0;3,71
0;3,72
0;3,75
0;3,76
0;3,76
0;3,78
0;3,8
0;3,8
0;3,82
0;3,82
0;3,85
0;3,87
0;3,88
0;3,91
0;3,93
0;3,92
0;3,91
0;3,92
0;3,93
0;3,93
0;3,94
0;3,97
0;3,99
0;3,99
0;4,0
0;4,03
0;4,06
0;4,09
0;4,09
0;4,1
0;4,11
0;4,12
0;4,11
0;4,13
0;4,13
0;4,14
0;4,16
0;4,18
0;4,22
0;4,22
0;4,22
0;4,24
0;4,27
0;4,25
0;4,23
0;4,23
0;4,25
0;4,25
0;4,26
0;4,27
0;4,28
0;4,3
0;4,28
0;4,29
0;4,3
0;4,31
0;4,34
0;4,35
0;4,37
0;4,35
0;4,38
0;4,38
0;4,41
0;4,41
0;4,42
0;4,41
0;4,41
0;4,42
0;4,42
0;4,43
0;4,45
0;4,41
0;4,43
0;4,44
0;4,45
0;4,46
0;4,46
0;4,46
0;4,46
0;4,47
0;4,48
0;4,47
0;4,48
0;4,5
0;4,52
0;4,51
0;4,5
0;4,5
0;4,5
0;4,51
0;4,5
0;4,48
0;4,48
0;4,49
0;4,49
0;4,48
0;4,49
0;4,52
0;4,51
0;4,5
0;4,51
0;4,51
0;4,5
0;4,49
0;4,49
0;4,49
0;4,49
0;4,49
0;4,48
0;4,48
0;4,49
0;4,47
0;4,46
0;4,46
0;4,47
0;4,49
0;4,48
0;4,48
0;4,48
0;4,48
50;37,06
50;33,44
50;38,18
50;37,75
50;40,83
50;36,97
50;39,44
50;39,78
50;40,82
50;40,6
50;41,94
50;41,89
50;41,4
50;41,61
50;42,24
50;42,22
50;40,26
50;40,92
50;40,87
50;41,15
50;40,27
50;41,63
50;38,99
50;40,01
50;40,05
50;41,17
50;39,57
50;40,68
50;40,69
50;41,17
50;41,17
50;42,11
50;42,32
50;41,65
50;42,49
50;42,64
50;43,38
50;41,03
50;42,24
50;41,36
50;42,84
50;41,62
50;43,07
50;40,22
50;41,46
50;39,82
50;40,94
50;40,98
50;41,41
50;42,09
50;42,13
50;43,14
50;42,47
50;43,4
50;42,08
50;43,34
50;41,42
50;42,46
50;41,58
50;42,48
50;42,85
50;43,92
50;43,85
50;44,16
50;45,14
50;45,64
50;45,93
50;44,43
50;45,52
50;44,59
50;45,32
50;44,48
50;45,29
50;43,53
50;44,42
50;44,11
50;44,28
50;43,74
50;44,52
50;44,27
50;43,57
50;43,61
50;44,01
50;44,15
50;43,02
50;43,25
50;43,11
50;43,46
50;42,42
50;42,99
50;42,24
50;42,82
50;42,35
50;42,99
50;41,59
50;42,16
50;41,97
50;42,71
50;40,72
50;41,32
50;40,06
50;40,81
50;40,05
50;40,68
50;40,39
50;41,19
50;41,36
50;41,86
50;41,81
50;42,32
50;42,81
50;42,74
50;42,83
50;42,71
50;43,29
50;41,3
50;41,52
50;40,47
50;41,22
50;41,22
50;41,86
50;41,92
50;42,46
50;42,98
50;43,18
50;43,34
50;42,27
50;43,09
50;42,9
50;43,54
50;42,77
50;43,13
50;41,98
50;42,47
50;42,54
50;42,06
50;42,4
50;42,5
50;43,06
50;42,3
50;42,97
50;41,91
50;42,63
50;42,72
50;43,56
50;43,76
50;43,98
50;44,22
50;44,33
50;44,86
50;43,42
50;44,16
50;42,8
50;43,56
50;43,15
50;43,63
50;43,25
50;43,66
50;43,88
50;43,48
50;43,38
50;42,64
50;43,2
50;42,05
50;42,32
50;41,41
50;42,13
50;41,94
50;42,52
50;42,32
50;43,02
50;43,15
50;43,81
50;43,71
50;44,0
50;44,43
50;44,89
50;44,72
50;44,17
50;44,77
50;44,92
50;44,85
50;43,87
50;44,68
50;44,19
50;44,52
50;44,01
50;44,87
50;43,84
50;44,1
50;43,93
50;44,64
50;43,15
50;43,6
50;43,61
50;44,18
50;43,43
50;43,94
50;43,83
50;43,93
50;44,06
50;44,44
50;44,35
50;43,75
50;44,05
50;44,33
50;44,21
50;42,94
50;43,33
50;43,06
50;43,36
50;42,68
50;43,21
50;42,16
50;42,69
50;41,76
50;42,51
50;41,21
50;41,95
50;41,24
50;42,08
50;41,97
50;42,63
50;42,5
50;43,06
50;43,39
50;43,62
50;43,64
50;44,0
50;44,49
50;44,26
50;44,46
50;44,29
50;44,94
50;43,53
50;43,93
50;42,54
50;43,26
50;42,93
50;43,65
50;43,24
50;43,66
50;44,13
50;44,72
50;44,7
50;44,55
50;45,31
50;45,55
50;45,68
100;35,27
100;34,96
100;33,23
100;34,32
100;32,89
100;32,12
100;31,54
100;31,43
100;30,93
100;30,13
100;29,72
100;29,28
100;28,92
100;28,45
100;28,34
100;27,98
100;28,12
100;27,87
100;27,65
100;27,2
100;27,69
100;28,11
100;28,22
100;28,16
100;29,0
100;29,27
100;29,92
100;30,11
100;30,61
100;30,39
100;30,83
100;30,98
100;31,28
100;31,02
100;31,38
100;31,31
100;31,13
100;30,87
100;30,75
100;30,46
100;30,01
100;29,71
100;29,33
100;29,04
100;28,76
100;28,66
100;28,14
100;27,97
100;27,83
100;27,85
100;27,52
100;27,41
100;27,74
100;27,66
100;27,64
100;27,42
100;27,78
100;28,02
100;28,16
100;28,25
100;28,32
100;28,95
100;29,29
100;29,94
100;30,01
100;30,51
100;30,8
100;31,47
100;31,3
100;31,2
100;31,12
100;31,28
100;30,99
100;30,53
100;30,49
100;30,22
100;29,9
100;29,62
100;29,4
100;29,03
100;28,91
100;28,77
100;28,66
100;28,47
100;28,58
100;28,51
100;28,46
100;28,26
100;28,63
100;28,91
100;29,05
100;29,05
100;29,63
100;29,7
100;30,12
100;30,03
100;30,25
100;30,25
100;30,68
100;30,85
100;30,76
100;30,47
100;30,57
100;30,46
100;30,24
100;30,11
100;29,97
100;29,89
100;29,48
100;29,46
100;29,12
100;29,2
100;28,83
100;28,77
100;28,54
100;28,55
100;28,44
100;28,19
100;27,95
100;27,85
100;27,68
100;27,64
100;27,45
100;27,41
100;27,41
100;27,41
100;27,3
100;27,32
100;27,54
100;27,82
100;28,0
100;28,45
100;28,66
100;29,15
100;29,35
100;29,89
100;29,98
100;30,51
100;30,56
100;30,77
100;30,69
100;31,07
100;30,9
100;31,01
100;30,81
100;31,14
100;30,93
100;30,72
100;30,66
100;30,78
100;30,59
100;30,35
100;30,27
100;30,35
100;30,34
100;30,12
100;29,94
100;29,8
100;29,65
100;29,5
100;29,35
100;29,17
100;28,99
100;28,79
100;28,67
100;28,52
100;28,38
100;28,18
100;28,19
100;27,93
100;27,96
100;28,0
100;28,14
100;28,1
100;28,5
100;28,83
100;28,98
100;28,95
100;29,43
100;29,67
100;30,07
100;30,19
100;30,56
100;30,59
100;30,98
100;31,06
100;31,31
100;31,26
100;31,55
100;31,51
100;31,56
100;31,49
100;31,86
100;31,84
100;31,76
100;31,63
100;31,95
100;31,92
100;31,66
100;31,41
100;31,42
100;31,31
100;30,95
100;30,72
100;30,51
100;30,36
100;30,01
100;29,82
100;29,61
100;29,41
100;29,11
100;29,02
100;28,81
100;28,73
100;28,56
100;28,44
100;28,21
100;28,12
100;28,01
100;27,92
100;27,83
100;27,91
100;27,9
100;27,91
100;27,78
100;27,89
100;28,0
100;28,07
100;28,08
100;28,32
100;28,5
100;28,6
100;28,7
100;29,15
100;29,33
100;29,58
100;29,75
100;30,32
100;30,33
100;30,61
100;30,71
100;31,04
100;31,01
100;31,41
100;31,48
100;31,84
100;31,76
100;32,23
100;32,13
