Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s)
0;0;1,27;-100,13;0,2131;-10,0006;0,0136;0,0425;0,0052;0,0123
0;20;1,37;-96,2;0,2705;-9,991;0,0082;0,0462;-0,0009;0,0111
0;40;1,38;-96,99;0,2442;-9,9575;-0,0463;0,0433;-0,002;0,0121
0;60;1,4;-97,65;0,249;-9,9599;-0,0517;0,0418;-0,0035;0,0131
0;80;1,39;-100,06;0,2203;-9,9024;-0,0979;0,0424;-0,0032;0,0117
0;100;1,39;-102,38;0,2179;-9,9575;-0,1143;0,0418;0,0049;0,0112
0;120;1,43;-103,77;0,2729;-9,991;-0,1224;0,0452;-0,0049;0,0168
0;140;1,42;-102,67;0,2298;-9,9359;-0,0218;0,0434;-0,0008;0,0125
0;160;1,44;-102,72;0,2586;-10,0006;-0,0653;0,0442;-0,0025;0,0115
0;180;1,47;-102,97;0,2849;-9,9527;-0,0816;0,0418;-0,0025;0,0123
0;200;1,46;-105,14;0,2107;-9,991;-0,1388;0,0422;-0,0028;0,0101
0;220;1,46;-106,2;0,2251;-9,9551;-0,1061;0,0438;0,0015;0,0145
0;240;1,51;-105,52;0,3136;-9,9264;-0,0544;0,0449;-0,0012;0,0136
0;260;1,49;-104,05;0,2322;-9,8976;-0,0082;0,0438;-0,0048;0,0116
0;280;1,43;-104,3;0,1556;-9,9647;-0,049;0,041;-0,0024;0,0156
0;300;1,43;-102,88;0,2514;-9,912;-0,0082;0,0416;-0,0009;0,0137
0;320;1,44;-102,27;0,2658;-9,9934;-0,0408;0,0401;0,0001;0,0096
0;340;1,46;-102,5;0,2705;-9,9551;-0,0789;0,0425;-0,0011;0,012
0;360;1,48;-101,58;0,2801;-9,9192;-0,0272;0,0442;-0,0011;0,0124
0;380;1,49;-102,33;0,2586;-10,0485;-0,0979;0,0452;-0,0008;0,0127
0;400;1,49;-102,26;0,2394;-9,9647;-0,0571;0,0409;-0,004;0,0125
0;420;1,46;-101,65;0,2083;-10,0102;-0,0299;0,0424;-0,0035;0,0099
0;440;1,44;-101,54;0,2322;-9,9886;-0,0517;0,0432;-0,0011;0,0155
0;460;1,41;-103,42;0,1724;-9,9168;-0,1061;0,0414;-0,0013;0,0121
0;480;1,38;-103,56;0,1963;-9,9479;-0,0571;0,0422;-0,0009;0,0107
0;500;1,37;-101,57;0,2298;-9,9383;0,0218;0,0469;-0,0032;0,0128
0;520;1,35;-101,81;0,1891;-9,912;-0,0544;0,0442;-0,0027;0,0143
0;540;1,32;-100,06;0,2011;-9,9575;0,0163;0,0405;-0,0059;0,0151
0;560;1,32;-98,69;0,2418;-9,9335;0,0082;0,0425;0,0005;0,0147
0;580;1,33;-97,74;0,2418;-9,9359;-0,0054;0,044;-0,0003;0,0108
0;600;1,35;-95,64;0,2777;-9,9455;0,0599;0,0424;-0,0036;0,0119
0;620;1,33;-97,5;0,1867;-9,9168;-0,1061;0,0418;-0,0029;0,0135
0;640;1,34;-97,06;0,249;-9,9407;-0,0245;0,0454;-0,0024;0,0151
0;660;1,33;-98,71;0,1987;-9,9359;-0,1088;0,0385;-0,0032;0,0121
0;680;1,33;-97,74;0,2418;-9,9264;0,0;0,0428;-0,0037;0,0121
0;700;1,36;-95,03;0,261;-9,9551;0,1034;0,0445;-0,0036;0,0131
0;720;1,36;-95,2;0,2442;-9,9359;-0,0463;0,0429;-0,0029;0,0133
0;740;1,38;-96,0;0,2682;-9,9503;-0,0898;0,0417;0,0012;0,0127
0;760;1,39;-96,84;0,2514;-9,9551;-0,0898;0,044;-0,0044;0,0131
0;780;1,41;-97,25;0,2634;-9,9934;-0,0707;0,0446;-0,0011;0,012
0;800;1,37;-98,03;0,1724;-9,9647;-0,0626;0,0402;-0,0005;0,0109
0;820;1,38;-96,55;0,2586;-9,991;0,0408;0,0406;-0,0052;0,0128
0;840;1,37;-97,64;0,2083;-9,9311;-0,0925;0,0416;-0,0024;0,0125
0;860;1,4;-97,71;0,2897;-9,9144;-0,0571;0,0449;-0,0028;0,0129
0;880;1,39;-97,66;0,2274;-9,979;-0,0381;0,0426;-0,0023;0,0116
0;900;1,39;-96,03;0,2298;-9,9886;0,0517;0,0429;-0,0017;0,0148
0;920;1,37;-96,16;0,2131;-9,9647;-0,0408;0,041;-0,0025;0,0148
0;940;1,37;-96,17;0,2346;-9,9695;-0,0381;0,0424;-0,0028;0,0141
0;960;1,36;-96,15;0,2107;-9,912;-0,0326;0,0436;-0,002;0,0117
0;980;1,38;-96,99;0,2634;-9,9623;-0,1034;0,0406;-0,0013;0,0137
0;1000;1,4;-96,61;0,2945;-9,9216;-0,019;0,044;-0,0036;0,0117
0;1020;1,4;-95,96;0,2514;-9,9623;0,0027;0,0424;-0,0033;0,0108
0;1040;1,4;-95,36;0,2274;-9,9359;0,0027;0,0429;-0,0005;0,0128
0;1060;1,4;-94,19;0,2586;-9,9264;0,0463;0,042;-0,0025;0,0132
0;1080;1,38;-94,08;0,1915;-9,991;-0,019;0,0409;-0,0024;0,0121
0;1100;1,4;-94,78;0,2753;-9,9934;-0,0925;0,0428;-0,0044;0,0119
0;1120;1,4;-94,9;0,2346;-9,9599;-0,0408;0,0426;-0,0009;0,0112
0;1140;1,4;-95,39;0,237;-9,9431;-0,068;0,0438;-0,0008;0,0128
0;1160;1,4;-95,59;0,2394;-9,9742;-0,049;0,0432;-0,0041;0,0125
0;1180;1,38;-96,61;0,1867;-9,9072;-0,0898;0,041;-0,0012;0,0136
0;1200;1,37;-97,44;0,2083;-9,9551;-0,0898;0,0425;-0,0029;0,012
0;1220;1,37;-97,19;0,237;-9,9599;-0,0218;0,0453;-0,0035;0,0121
0;1240;1,37;-97,88;0,2059;-9,9934;-0,0816;0,0449;0,0009;0,0151
0;1260;1,35;-97,98;0,1963;-9,9862;-0,0408;0,0453;0,0004;0,0099
0;1280;1,36;-97,33;0,2586;-9,9862;0,0082;0,0414;-0,0013;0,0119
0;1300;1,36;-97,18;0,2322;-10,0221;-0,0272;0,0432;-0,0035;0,0131
0;1320;1,35;-97,68;0,2011;-9,9862;-0,068;0,0456;-0,0024;0,0144
0;1340;1,35;-97,48;0,2346;-9,9718;-0,0245;0,0414;0,0012;0,0139
0;1360;1,34;-96,76;0,2274;-9,9407;0,0163;0,0434;-0,0013;0,0129
0;1380;1,35;-97,16;0,2442;-9,9168;-0,0735;0,0414;-0,0003;0,0131
0;1400;1,35;-96,75;0,237;-9,9575;-0,0054;0,0422;0,0001;0,0147
0;1420;1,34;-97,65;0,2011;-9,9862;-0,1007;0,0424;0,0016;0,0113
0;1440;1,32;-98,33;0,1604;-9,9623;-0,068;0,0402;-0,0027;0,0128
0;1460;1,33;-98,34;0,2801;-9,9742;-0,0517;0,0433;0,0;0,0129
0;1480;1,33;-97,34;0,2131;-9,9024;0,0381;0,0433;-0,0027;0,0145
0;1500;1,33;-97,22;0,2274;-9,9192;-0,0272;0,0425;-0,002;0,012
0;1520;1,31;-96,2;0,182;-9,9383;0,0381;0,0421;-0,0012;0,0127
0;1540;1,3;-96,37;0,2131;-9,9742;-0,0463;0,042;-0,0008;0,0115
0;1560;1,29;-95,92;0,1844;-9,9455;0,0027;0,0448;-0,0004;0,0157
0;1580;1,32;-96,1;0,3017;-9,9359;-0,0653;0,045;-0,0024;0,0131
0;1600;1,3;-96,09;0,1915;-9,9551;-0,0272;0,0426;-0,0019;0,0119
0;1620;1,31;-96,89;0,2274;-9,9311;-0,1088;0,0437;-0,0037;0,0112
0;1640;1,31;-97,35;0,237;-9,9647;-0,0816;0,0445;-0,0009;0,0117
0;1660;1,31;-96,59;0,2083;-9,9216;0,0272;0,043;0,0008;0,0151
0;1680;1,3;-95,92;0,1963;-9,9551;0,0218;0,0454;-0,0024;0,0117
0;1700;1,3;-96,15;0,2155;-9,9168;-0,0517;0,0448;-0,0033;0,014
0;1720;1,29;-96,51;0,1844;-9,9216;-0,0544;0,0428;0,002;0,0113
0;1740;1,28;-95,89;0,2035;-9,9551;0,019;0,0429;0,0003;0,012
0;1760;1,29;-95,31;0,2634;-9,9311;0,0245;0,0429;-0,0011;0,0144
0;1780;1,31;-95,44;0,3136;-9,9479;-0,0599;0,0438;-0,004;0,0141
0;1800;1,32;-95,88;0,2274;-9,9383;-0,0735;0,0434;-0,0023;0,0127
0;1820;1,32;-95,33;0,2274;-9,9551;0,019;0,0444;0,0027;0,0141
0;1840;1,31;-95,48;0,2298;-9,9742;-0,0463;0,0418;-0,0009;0,0143
0;1860;1,32;-96,54;0,2274;-9,9359;-0,1442;0,0401;-0,0011;0,0117
0;1880;1,32;-96,92;0,2322;-9,9503;-0,0735;0,0441;0,0012;0,0127
0;1900;1,32;-97,36;0,2083;-9,9335;-0,0735;0,0394;-0,0029;0,0127
0;1920;1,31;-97,75;0,1796;-9,9814;-0,0599;0,0457;-0,0012;0,0121
0;1940;1,31;-97,18;0,2538;-9,9647;0,019;0,0452;0,0005;0,0104
0;1960;1,31;-97,4;0,2251;-9,8689;-0,0571;0,0413;-0,0032;0,0135
0;1980;1,31;-97,65;0,2155;-9,9383;-0,0599;0,0408;-0,002;0,0156
0;2000;1,32;-97,81;0,2682;-9,9551;-0,0626;0,0441;-0,0005;0,0148
0;2020;1,31;-97,95;0,2011;-9,9383;-0,0463;0,0453;-0,0033;0,0132
0;2040;1,33;-97,96;0,2777;-9,9288;-0,049;0,0424;-0,0029;0,0108
0;2060;1,34;-97,75;0,2634;-9,9671;-0,019;0,0488;-0,0036;0,0147
0;2080;1,35;-97,33;0,2634;-9,9383;0,0054;0,0428;-0,0023;0,0141
0;2100;1,35;-97,16;0,2418;-9,9838;-0,019;0,0414;-0,004;0,012
0;2120;1,35;-97,33;0,2394;-9,8904;-0,0571;0,0418;-0,0021;0,0136
0;2140;1,36;-97,33;0,2777;-10,0078;-0,0435;0,043;-0,0048;0,0127
0;2160;1,36;-98,17;0,237;-9,9599;-0,1388;0,0412;-0,0027;0,0117
0;2180;1,36;-98,63;0,2131;-9,9886;-0,0843;0,0409;-0,0021;0,0113
0;2200;1,37;-99,08;0,2586;-9,9742;-0,1034;0,0448;-0,0031;0,0127
0;2220;1,37;-98,87;0,2562;-9,9144;-0,0218;0,0409;-0,0041;0,0152
0;2240;1,37;-99,41;0,2251;-9,9671;-0,1007;0,0408;-0,0025;0,0128
0;2260;1,36;-99,54;0,1724;-9,9479;-0,0435;0,0414;-0,0037;0,0119
0;2280;1,37;-99,24;0,2801;-9,9862;-0,0136;0,0416;-0,0019;0,0111
0;2300;1,37;-100,04;0,2322;-9,9383;-0,1415;0,0397;-0,0032;0,0112
0;2320;1,38;-100,57;0,2442;-9,9695;-0,1143;0,0442;-0,0065;0,0144
0;2340;1,39;-100,93;0,2825;-9,9192;-0,1088;0,0434;-0,0033;0,0159
0;2360;1,39;-101,22;0,2322;-9,9359;-0,0816;0,0436;-0,0035;0,0148
0;2380;1,39;-101,15;0,2107;-9,9431;-0,0381;0,0436;-0,0011;0,0127
0;2400;1,37;-100,99;0,1844;-9,9838;-0,0245;0,0441;0,0004;0,0135
0;2420;1,38;-100,93;0,2562;-9,8761;-0,0463;0,0436;-0,0029;0,0124
0;2440;1,38;-100,48;0,2394;-9,9383;0,0027;0,0424;-0,0027;0,0139
0;2460;1,38;-99,94;0,2394;-9,9575;0,0136;0,044;-0,0009;0,0152
0;2480;1,37;-100,06;0,2035;-9,9766;-0,0517;0,0441;-0,0001;0,0136
0;2500;1,39;-100,79;0,2753;-9,9479;-0,166;0,0414;-0,0029;0,0133
0;2520;1,4;-100,91;0,2658;-9,9407;-0,0707;0,0421;-0,0039;0,0091
0;2540;1,4;-100,82;0,261;-10,003;-0,0435;0,0414;0,0029;0,0133
