Gas;Position
0;14,01
0;10,54
0;7,15
0;4,76
0;3,46
0;2,66
0;2,32
0;2,33
0;2,09
0;2,15
0;2,26
0;2,37
0;2,56
0;2,77
0;2,93
0;3,07
0;3,23
1;3,38
1;3,48
1;3,64
1;3,69
1;3,79
1;3,86
1;3,91
1;3,99
1;3,96
1;3,99
1;4,08
1;4,01
1;4,04
1;4,26
1;4,14
1;4,07
1;4,05
2;4,01
2;4,04
2;4,02
2;4,01
2;3,95
2;3,91
2;3,84
2;3,87
2;3,89
2;3,9
2;3,75
2;3,82
2;3,89
2;3,95
2;3,81
2;3,86
2;3,98
3;4,18
3;4,07
3;3,89
3;4,0
3;3,88
3;3,79
3;3,81
3;3,83
3;3,93
3;3,77
3;3,92
3;3,92
3;3,9
3;3,92
3;3,96
3;3,89
3;3,81
4;3,81
4;3,7
4;3,74
4;3,84
4;3,91
4;3,85
4;3,85
4;3,85
4;3,87
4;3,95
4;3,95
4;4,05
4;4,09
4;4,14
4;4,13
4;4,13
4;4,04
5;4,05
5;4,07
5;4,09
5;4,09
5;4,07
5;4,06
5;3,95
5;4,12
5;4,15
5;4,14
5;4,13
5;4,05
5;3,99
5;3,92
5;3,83
5;3,81
5;3,87
6;3,94
6;3,9
6;3,87
6;3,84
6;3,93
6;3,92
6;3,85
6;3,8
6;3,78
6;3,73
6;3,81
6;3,89
6;4,0
6;4,03
6;4,05
6;4,0
6;4,03
7;4,07
7;4,17
7;4,03
7;4,04
7;4,0
7;3,89
7;3,83
7;3,81
7;3,83
7;3,88
7;3,89
7;3,97
7;3,82
7;3,78
7;3,89
7;3,88
7;3,88
8;3,91
8;3,95
8;3,91
8;3,91
8;3,92
8;3,95
8;3,9
8;3,96
8;3,99
8;4,01
8;4,0
8;3,88
8;3,79
8;3,78
8;3,74
8;3,7
8;3,83
9;3,81
9;3,87
9;3,97
9;3,88
9;3,97
9;4,11
9;3,99
9;3,87
9;3,92
9;3,82
9;3,95
9;3,95
9;4,12
9;4,05
9;4,08
9;3,82
9;3,92
10;3,94
10;3,94
10;3,84
10;3,85
10;3,95
10;4,01
10;3,84
10;3,79
10;3,77
10;3,82
10;3,86
10;3,88
10;3,86
10;3,75
10;3,66
10;3,78
