Gas;Position
0;27,6
0;18,96
0;12,04
0;6,65
0;3,15
0;1,21
0;0,3
0;-0,07
0;0,02
0;-0,06
0;0,02
0;0,22
0;0,45
0;0,93
0;1,33
0;1,83
0;2,04
1;2,28
1;2,73
1;3,25
1;3,44
1;3,63
1;3,79
1;3,84
1;3,97
1;4,04
1;3,91
1;3,84
1;3,71
1;3,82
1;3,79
1;3,82
1;4,01
1;3,89
2;3,99
2;3,97
2;4,01
2;3,98
2;3,86
2;3,93
2;3,94
2;3,92
2;3,96
2;3,91
2;3,84
2;3,88
2;3,7
2;3,67
2;3,84
2;4,0
2;4,09
3;3,96
3;3,78
3;3,86
3;3,95
3;4,06
3;4,02
3;3,9
3;3,92
3;3,95
3;3,97
3;3,96
3;3,77
3;3,68
3;3,77
3;3,89
3;3,84
3;3,85
4;3,79
4;3,71
4;3,8
4;3,84
4;3,95
4;4,09
4;4,04
4;3,96
4;3,92
4;3,9
4;3,79
4;3,81
4;3,8
4;3,83
4;3,9
4;4,03
4;3,99
5;4,08
5;3,98
5;3,82
5;3,79
5;3,77
5;3,79
5;3,66
5;3,86
5;3,84
5;3,9
5;3,89
5;3,88
5;3,74
5;3,78
5;3,78
5;3,77
5;3,79
6;3,85
6;3,86
6;3,9
6;3,93
6;4,01
6;4,01
6;3,87
6;3,85
6;3,79
6;3,87
6;3,88
6;3,85
6;3,82
6;3,91
6;3,87
6;4,01
6;3,85
7;3,97
7;4,0
7;3,9
7;3,96
7;3,97
7;3,95
7;3,94
7;4,0
7;4,0
7;3,97
7;3,99
7;3,97
7;3,84
7;3,83
7;3,88
7;3,88
7;3,93
8;3,87
8;3,93
8;3,95
8;3,9
8;3,93
8;4,0
8;4,07
8;4,08
8;3,98
8;4,01
8;4,0
8;3,9
8;4,04
8;3,98
8;3,93
8;3,95
9;3,86
9;4,04
9;3,99
9;3,88
9;3,78
9;3,78
9;3,73
9;3,87
9;3,88
9;3,95
9;3,97
9;3,98
9;3,98
9;3,89
9;3,93
9;3,79
9;3,77
10;3,8
10;3,75
10;3,76
10;3,85
10;3,85
10;3,81
10;3,9
10;3,94
10;4,08
10;3,99
10;4,01
10;4,08
10;4,08
10;4,04
10;4,06
10;4,01
10;3,88
