Gas;Position
100;-1273,94
100;-384,14
100;74,58
100;223,73
100;253,83
100;260,84
100;266,75
100;260,95
100;245,61
100;217,17
100;190,74
100;172,62
100;162,31
100;149,47
100;131,89
100;111,39
100;93,75
100;80,97
100;71,31
100;63,41
100;52,77
100;44,36
100;36,52
100;30,82
100;27,9
100;25,83
100;22,9
100;24,55
100;22,98
100;22,17
100;22,22
100;21,33
100;23,44
110;28,7
110;35,72
110;36,13
110;34,98
110;33,82
110;32,25
110;32,73
110;32,69
110;30,85
110;34,3
110;34,33
110;33,88
110;35,56
110;35,5
110;36,3
110;33,82
110;36,91
120;46,35
120;46,4
120;45,25
120;46,08
120;42,67
120;40,1
120;38,86
120;35,91
120;36,37
120;41,01
120;44,15
120;42,77
120;42,01
120;40,36
120;37,26
120;34,72
120;35,26
130;39,99
130;40,85
130;43,35
130;44,55
130;42,54
130;39,99
130;39,35
130;39,98
130;41,4
130;39,88
130;37,41
130;38,67
130;40,17
130;39,87
130;41,42
130;41,24
130;40,96
140;44,68
140;49,24
140;50,49
140;48,81
140;47,39
140;47,4
140;46,43
140;45,51
140;48,73
140;49,86
140;48,08
140;49,09
140;45,44
140;44,13
140;46,24
140;48,11
140;48,93
150;54,31
150;52,48
150;56,44
150;54,49
150;54,44
150;55,62
150;55,97
150;55,44
150;57,52
150;58,49
150;58,77
150;56,83
150;56,7
150;57,6
150;56,47
150;56,06
160;60,4
160;63,94
160;65,85
160;69,93
160;69,97
160;71,02
160;67,31
160;64,8
160;67,63
160;67,46
160;68,69
160;67,55
160;69,92
160;70,49
160;71,59
160;71,5
160;71,18
161;69,38
161;68,19
161;66,07
161;67,15
161;67,35
161;66,95
161;67,46
161;65,86
161;65,09
161;65,75
161;63,02
161;64,43
161;65,18
161;65,81
161;66,73
161;67,19
161;68,06
162;70,22
162;70,57
162;71,45
162;67,51
162;68,46
162;67,92
162;68,82
162;68,51
162;69,35
162;67,93
162;70,36
162;68,53
162;68,6
162;70,49
162;72,28
162;74,1
162;74,47
163;75,85
163;72,7
163;70,79
163;70,92
163;70,06
163;67,17
163;64,13
163;61,75
163;65,7
163;67,3
163;69,04
163;67,53
163;70,52
163;70,03
163;71,47
163;71,36
163;71,06
164;73,93
164;73,62
164;73,82
164;74,12
164;73,26
164;70,87
164;72,76
164;73,56
164;70,5
164;69,83
164;71,61
164;73,54
164;75,23
164;75,74
164;69,29
164;69,97
164;71,28
165;65,72
165;68,25
165;71,1
165;72,81
165;74,21
165;74,99
165;74,13
165;74,52
165;74,97
165;72,04
165;69,52
165;71,41
165;72,38
165;71,7
165;69,74
165;70,08
165;70,35
166;71,27
166;74,06
166;75,11
166;74,21
166;74,32
166;75,86
166;75,73
166;75,86
166;75,27
166;74,25
166;72,85
166;72,95
166;73,93
166;68,29
166;69,39
166;68,91
166;66,73
167;70,74
167;70,46
167;72,16
167;70,16
167;72,35
167;72,87
167;74,24
167;72,64
167;72,81
167;74,35
167;76,06
167;74,89
167;76,24
167;77,31
167;76,6
167;77,89
167;78,22
168;76,47
168;78,18
168;78,76
168;78,64
168;79,43
168;79,75
168;77,03
168;75,89
168;76,3
168;77,17
168;77,92
168;74,91
168;74,97
168;74,84
168;76,33
168;77,21
168;78,21
169;79,5
169;80,5
169;77,65
169;78,48
169;80,13
169;79,73
169;79,33
169;78,11
169;77,75
169;78,03
169;78,91
169;79,53
169;73,49
169;74,35
169;73,65
169;71,83
169;76,12
170;78,96
170;80,78
170;81,9
170;84,0
170;83,44
170;85,03
170;84,75
170;84,88
170;82,74
170;80,13
170;80,55
170;83,15
170;83,22
170;84,74
170;84,35
170;83,86
170;81,5
171;82,11
171;81,87
171;81,15
171;79,81
171;77,53
171;78,86
171;80,47
171;81,58
171;82,51
171;82,17
171;82,73
171;83,97
171;82,94
171;79,4
171;77,15
171;78,57
171;80,54
172;82,61
172;81,35
172;81,36
172;82,45
172;81,18
172;83,1
172;84,14
172;82,83
172;83,8
172;80,56
172;82,34
172;80,52
172;83,7
172;85,27
172;84,25
172;84,92
172;84,77
173;85,61
173;85,61
173;86,62
173;87,66
173;83,73
173;80,98
173;82,71
173;84,36
173;84,9
173;83,87
173;81,73
173;80,68
173;80,64
173;82,84
173;82,46
173;82,77
173;84,93
