Gas;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
100;-767,29;-277,25;324;-17568;3336;7042;-2365;70
100;-504,28;-185,98;480;-17712;4764;7823;-2623;50
100;-372,72;-145,2;2180;-17768;4528;8443;-200;204
100;-292,44;-106,09;-4516;-18168;4660;8987;932;86
100;-238,37;-94,58;3936;-18068;4276;9478;118;239
100;-196,69;-79,18;-380;-17312;5596;9861;-1208;320
100;-164,47;-70,27;1464;-18032;4524;10201;-2327;12
100;-137,74;-60,59;-40;-17216;5344;10559;-1156;201
100;-115,21;-53,44;788;-18200;5128;10826;-793;-38
100;-94,86;-50,86;4860;-17400;5340;11032;7;202
100;-76,67;-40,88;-3792;-17148;6448;11168;-577;91
100;-59,78;-39,93;6624;-16768;6256;11253;-1131;132
100;-44,83;-31,38;-3764;-16592;6600;11211;-1454;20
100;-31,35;-29,84;3880;-16616;5896;11174;-1618;-122
100;-19,39;-24,93;-264;-15732;6968;11091;-309;3
100;-8,05;-23,37;3344;-16160;6124;10985;-916;-123
100;2,65;-18,62;-660;-14592;7424;10753;-526;42
100;12,09;-13,78;-1320;-15696;6860;10537;-1573;-259
100;20,7;-11,58;1668;-13756;7588;10248;-331;-1
100;28,79;-7,08;-1672;-15000;7768;9897;-561;-115
100;36,32;-5,06;1408;-13184;7752;9530;77;108
100;43,48;0,86;-5160;-13528;8048;9118;-730;-98
100;50,1;-0,76;6528;-13016;7752;8692;-542;-76
100;56,02;4,66;-5288;-12680;8544;8218;-279;-37
100;61,59;2,56;7168;-12052;8140;7744;-48;-7
100;66,19;7,14;-4464;-11876;8612;7126;-265;-75
100;70,33;5,32;5788;-11896;8420;6607;-730;-59
100;73,82;8,37;-2404;-11024;8900;6029;-46;83
100;76,88;7,02;4500;-11316;8656;5442;-682;-113
100;79,71;9,97;-2844;-10300;9332;4813;58;30
100;81,58;10,95;28;-11284;8764;4212;-941;-174
100;83,83;11,71;436;-9300;9636;3581;243;132
100;85,03;12,73;-416;-10828;8648;2950;-890;38
100;86,64;12,77;1360;-9024;9456;2303;368;237
100;87,8;15,39;-3756;-10112;9376;1663;-234;99
100;88,95;14,43;2820;-8884;9452;999;210;404
100;89,6;16,49;-3156;-9944;9544;384;-307;175
100;90,21;15,62;2444;-9000;9444;-302;457;359
100;90,62;18,14;-4488;-9724;9544;-897;240;239
100;91,49;15,02;8576;-9236;9944;-1437;1515;318
100;91,52;17,56;-4380;-9872;9768;-2067;2162;193
100;91,74;14,78;7208;-9444;9296;-2621;2003;339
100;91,74;16,95;-4336;-9224;10256;-3224;819;315
100;91,33;14,15;6232;-10500;9360;-3834;-1498;345
100;90,71;16,29;-4240;-10044;9276;-4437;61;253
100;90,21;13,35;7640;-10792;9204;-4938;932;241
100;89,46;13,28;952;-10008;10164;-5400;1448;432
100;88,08;13,12;384;-11628;9064;-5897;-1108;346
100;87,36;13,0;988;-10520;11188;-6314;1051;272
100;85,6;12,15;1972;-12560;8068;-6767;367;64
100;84,16;11,58;1548;-11452;8612;-7170;253;355
100;82,75;11,97;-632;-12740;9748;-7444;-285;-138
100;81,29;11,44;1720;-12084;8848;-7799;1187;226
100;79,75;12,13;-1340;-13376;9280;-8032;-220;-256
100;78,22;11,56;1544;-12492;8528;-8362;570;-118
100;76,73;12,69;-2320;-13960;9388;-8507;680;-395
100;75,33;12,28;1276;-12928;9176;-8805;925;-176
100;73,76;13,57;-2880;-14560;8700;-8879;183;-392
100;72,71;11,26;6488;-13616;9096;-8990;805;-202
