Gas;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
0;2,79;-138,93;456;-16688;-508;-339;-8;50
0;2,82;-138,59;560;-16584;-624;-334;-32;101
0;2,76;-137,83;540;-16732;-568;-338;-21;74
0;2,8;-139,16;524;-16680;-680;-340;-16;75
0;2,84;-140,79;504;-16624;-696;-325;-37;82
0;2,87;-143,52;444;-16652;-728;-325;-37;88
0;2,75;-141,93;492;-16600;-520;-343;-15;98
0;2,77;-140,9;556;-16528;-608;-314;-27;73
0;2,82;-140,72;560;-16700;-664;-321;1;93
0;2,8;-140,35;528;-16644;-608;-331;-30;90
0;2,93;-140,94;588;-16696;-764;-324;-13;82
0;2,96;-141,73;520;-16696;-708;-341;-19;80
0;2,86;-139,52;540;-16548;-484;-318;-8;95
0;2,84;-139,58;520;-16684;-620;-332;-15;91
0;2,85;-141,15;456;-16652;-700;-346;-11;99
0;2,92;-141,81;548;-16644;-752;-330;-25;64
0;2,91;-140,66;576;-16592;-584;-334;-30;95
0;2,89;-139,82;560;-16560;-580;-349;-34;78
0;2,87;-140,51;472;-16668;-644;-326;-8;103
0;2,86;-139,51;576;-16580;-568;-331;4;91
0;2,86;-139,3;552;-16616;-624;-334;8;76
0;2,86;-140,86;424;-16640;-712;-337;-3;82
0;2,9;-140,57;600;-16624;-684;-311;-15;85
0;2,99;-140,93;608;-16592;-800;-344;3;69
0;2,95;-139,88;552;-16524;-524;-330;-20;88
0;2,96;-139,62;588;-16688;-656;-341;4;90
0;2,97;-139,65;564;-16648;-672;-331;-35;88
0;2,97;-139,54;560;-16676;-644;-333;-17;98
0;2,93;-139,1;524;-16688;-548;-324;-23;69
0;2,94;-139,28;552;-16728;-680;-332;-4;83
0;2,94;-138,8;584;-16560;-596;-341;-40;86
0;2,91;-138,28;548;-16636;-544;-326;-14;68
0;2,95;-139,4;496;-16716;-816;-336;2;89
0;2,94;-138,99;568;-16660;-588;-325;-17;96
0;2,92;-138,78;544;-16652;-592;-336;-15;88
0;2,9;-138,09;568;-16716;-524;-335;-30;84
0;2,92;-137,89;632;-16616;-672;-318;-22;77
0;2,92;-137,97;548;-16668;-640;-323;12;90
