Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
60;0;22,58;9,22;2116;-17172;3948;3399;-783;344
60;20;21,49;-22,69;6004;-17264;448;3782;956;74
60;40;16,91;-0,46;-976;-17248;484;3911;877;-34
60;60;16,33;8,42;-2748;-16832;3256;4167;15;121
60;80;16,69;10,76;-1796;-16768;5188;4517;-695;304
60;100;16,6;8,96;144;-16276;4612;4810;-1231;353
60;120;17,29;-3,7;5956;-16948;2100;4972;-1603;308
60;140;17,56;-12,72;4732;-16864;2936;5122;-2029;307
60;160;16,97;-17,6;2380;-17000;3028;5345;-1665;217
60;180;15,96;-18,52;768;-16604;2708;5541;-1510;30
60;200;15,91;-7,59;-4080;-17040;2280;5639;-1286;205
60;220;16,03;2,17;-4184;-16728;2580;5651;-962;85
60;240;16,09;7,7;-2728;-16504;3888;5730;249;22
60;260;16,21;9,2;-960;-16128;4700;5728;736;94
60;280;16,3;10,27;-868;-16152;4672;5719;-32;252
60;300;16,53;5,91;1992;-15568;4488;5653;-1288;382
60;320;17,58;-2,5;5548;-16044;4104;5555;-1621;279
60;340;18,75;-9,77;5820;-16164;4692;5510;-1708;252
60;360;19,68;-15,97;5404;-16000;4680;5409;-1082;248
60;380;18,88;-15,98;672;-15992;3520;5287;4;84
60;400;18,16;-11,13;-1436;-15568;3268;5096;326;-48
60;420;17,43;-7,4;-1132;-15692;3276;4833;115;33
60;440;17,07;-2,67;-2020;-15624;3624;4548;203;-86
60;460;17,65;3,89;-4436;-15088;4216;4203;570;-103
60;480;18,14;8,57;-3648;-15028;4868;3929;688;127
60;500;18,35;11,38;-2384;-14716;4936;3581;547;198
60;520;18,57;12,33;-1348;-14968;5584;3216;-122;219
60;540;19,01;11,77;-244;-14544;6236;2828;-418;133
60;560;19,54;9,56;1344;-14244;6388;2521;-813;138
60;580;20,11;4,76;4080;-14348;5616;2115;-1016;290
60;600;20,64;0,06;4380;-14116;5388;1728;-789;285
60;620;21,27;-4,89;5280;-14092;5240;1354;-907;148
60;640;20,87;-6,23;1420;-14516;4824;1004;-89;-46
60;660;20,36;-5,62;-56;-14360;4680;602;170;-109
60;680;19,96;-3,2;-1572;-14448;4732;230;676;-125
60;700;19,23;-0,8;-1420;-14964;3984;-199;1092;-149
60;720;19,02;3,07;-3384;-14756;4508;-636;908;-131
60;740;19,22;6,31;-3792;-14520;5712;-1050;924;-7
60;760;19,5;10,17;-4772;-13936;5128;-1447;898;-75
60;780;19,49;11,56;-2200;-14640;6184;-1813;982;-107
60;800;19,4;11,6;-732;-14144;6156;-2186;393;-38
60;820;19,41;9,47;1944;-14416;6436;-2559;-92;110
60;840;19,46;7,71;1708;-14236;6652;-2883;-2;175
60;860;19,49;4,52;3664;-14064;5740;-3176;156;258
60;880;19,49;1,32;4196;-14900;5892;-3509;136;241
60;900;19,27;-2,04;4284;-15292;5092;-3788;212;15
60;920;19,01;-4,74;3752;-15256;5292;-4063;612;-113
60;940;18,6;-6,29;2340;-14840;5260;-4239;954;-108
60;960;17,97;-6,41;640;-15080;4908;-4429;1221;-26
60;980;17,27;-4,93;-988;-15776;4668;-4594;1909;-48
60;1000;16,94;-1,62;-3724;-15952;4956;-4838;2032;-188
60;1020;16,72;1,82;-4312;-15512;4828;-5021;1815;-26
60;1040;16,44;4,7;-3892;-15576;4836;-5154;662;-25
60;1060;15,91;6,67;-2520;-15568;4440;-5259;182;-112
